"СТАЧЕК ПР., д.101, корп.1В","2168,4\1313,5",2135\1285,-2\-2
"СТАЧЕК ПР., д.101, корп.1Г","1141,6\993,6",1006\866,-12\-13
"СТАЧЕК ПР., д.101, корп.1Д","1115,7\703,2",1112\713,0\1
"СТАЧЕК ПР., д.102","54,3\15,8",58\11,7\-30
"СТАЧЕК ПР., д.103, корп.1","1331,28\1574,1","1004,85\1990",-25\26
"СТАЧЕК ПР., д.105, корп.2А","920,8\574",919\671,0\17
"СТАЧЕК ПР., д.105, корп.2Б","2435,3\1735,9","2393,62\1690",-2\-3
"СТАЧЕК ПР., д.105, корп.2В","2772\1499,1",2644\1303,-5\-13
"СТАЧЕК ПР., д.105, корп.2Г","1286,8\1135,3",1040\1097,-19\-3
"СТАЧЕК ПР., д.105, корп.2Д","2836,54\1948,8","2527,47\1778",-11\-9
"СТАЧЕК ПР., д.105, корп.2Е","1721,81\1112,1","1536,36\1031",-11\-7
"СТАЧЕК ПР., д.105, корп.2Ж","2933,96\1505,9","2682,1\1435",-9\-5
"СТАЧЕК ПР., д.105, корп.2З","1654,42\1194,6","1509,41\1124",-9\-6
"СТАЧЕК ПР., д.107, корп.1","1426,06\800,9","1716,96\693",20\-13
"ТРАКТОРНАЯ УЛ., д.3",94\97,69\92,-27\-5
"ТРАКТОРНАЯ УЛ., д.4","74,5\42,1",63\38,-15\-10
"ТРАКТОРНАЯ УЛ., д.4А","114,3\120,4",141\132,23\10
"ТРАКТОРНАЯ УЛ., д.5","203,6\88,6",93\81,-54\-9
"ТРАКТОРНАЯ УЛ., д.6","49,2\42,7",36\39,-27\-9
"ТРАКТОРНАЯ УЛ., д.6, корп.2","53,9\32",38\35,-29\9
"ТРАКТОРНАЯ УЛ., д.7","79,3\49,6",70\62,-12\25
"ТРАКТОРНАЯ УЛ., д.8","83,3\76,4",39\68,-53\-11
"ТРАКТОРНАЯ УЛ., д.9","269,7\180,4",181\151,-33\-16
"ТРАКТОРНАЯ УЛ., д.10","57,4\59",26\37,-55\-37
"ТРАКТОРНАЯ УЛ., д.11",97\50,104\47,7\-6
"ТРАКТОРНАЯ УЛ., д.12","112,8\158,1",71\153,-37\-3
"ТРАКТОРНАЯ УЛ., д.13","141,6\90,7",111\85,-22\-6
"ТРАКТОРНАЯ УЛ., д.15","152,8\84,3",106\55,-31\-35
"ТРАМВАЙНЫЙ ПР., д.5","163,8\191",91\191,-44\0
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","98,1\86,1",66\69,-33\-20
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","467,6\236,5",446\227,-5\-4
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","157\177,6",108\185,-31\4
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","179,1\94,5",179\94,0\-1
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","14,2\11,2",14\9,-1\-20
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","85,3\71",83\81,-3\14
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","190,2\49,1",160\40,-16\-19
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","727,1\300,1",706\317,-3\6
"ТРАМВАЙНЫЙ ПР., д.13, корп.1",27\11,28\12,4\9
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","43\42,3",27\27,-37\-36
"ТРАМВАЙНЫЙ ПР., д.13, корп.3","66,9\37,5",61\36,-9\-4
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","168,1\172,7",157\177,-7\2
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","101,7\73,3",55\50,-46\-32
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","128,8\119",80\101,-38\-15
"ТРАМВАЙНЫЙ ПР., д.17","58,6\60,8",47\53,-20\-13
"ТРЕФОЛЕВА УЛ., д.3","1071,7\465,3",860\359,-20\-23
"ТРЕФОЛЕВА УЛ., д.5","261,4\203,3",159\156,-39\-23
"ТРЕФОЛЕВА УЛ., д.11","46,2\28,9",45\30,-3\4
"ТРЕФОЛЕВА УЛ., д.15",970\538,675\399,-30\-26
"ТРЕФОЛЕВА УЛ., д.16",132\130,122\154,-8\18
"ТРЕФОЛЕВА УЛ., д.22/25","2072,25\892,2","1881,99\832",-9\-7
"ТРЕФОЛЕВА УЛ., д.26","128,1\68,7",139\77,9\12
"ТУРБИННАЯ УЛ., д.11","172,3\140,4",169\92,-2\-34
"ТУРГЕНЕВСКИЙ ПЕР., д.3",13\7,41\20,215\186
"ТУРГЕНЕВСКИЙ ПЕР., д.5","83,6\60,3",57\50,-32\-17
"УРЮПИН ПЕР., д.2/6",",001\0",",001\0",0\-
"УРЮПИН ПЕР., д.5","287,3\235,9",219\190,-24\-19
"ШВЕЦОВА УЛ., д.6","102,9\51,5",101\21,-2\-59
"ШВЕЦОВА УЛ., д.10","641,9\565,5",382\424,-40\-25
"ШВЕЦОВА УЛ., д.11","683,9\300,9",623\230,-9\-24
"ШВЕЦОВА УЛ., д.17",380\183,418\196,10\7
"ШВЕЦОВА УЛ., д.19","763,29\321","1020,69\437",34\36
"ШОТЛАНДСКАЯ УЛ., д.3","1289,4\492,1",1357\486,5\-1
