"ГЛАДКОВА УЛ., д.19","126,173\110",92\99,-27\-10
"ГЛАДКОВА УЛ., д.21",14\7,56\30,300\329
"ГЛАДКОВА УЛ., д.23","146,6\134,4",107\116,-27\-14
"ГЛАДКОВА УЛ., д.24/7","135,7\84,1",91\53,-33\-37
"ГЛАДКОВА УЛ., д.25","441,2\275,1",321\214,-27\-22
"ГЛАДКОВА УЛ., д.26","113\54,7",92\60,-19\10
"ГЛАДКОВА УЛ., д.29","140,8\147,3",67\108,-52\-27
"ГЛАДКОВА УЛ., д.31/7","73,2\37,3",49\26,-33\-30
"ГЛАДКОВА УЛ., д.33","116,7\61,2",95\48,-19\-22
"ГЛАДКОВА УЛ., д.35",68\32,48\25,-29\-22
"ГЛАДКОВА УЛ., д.39","22,1\15,2",25\15,13\-1
"ГЛАДКОВА УЛ., д.41","2,1\,1",1\0,-52\-100
"ГЛАДКОВА УЛ., д.43","31,1\23,6","38,3\28",23\19
"ГУБИНА УЛ., д.1/32","258,895\113,9","209,3\89",-19\-22
"ГУБИНА УЛ., д.3",83\44,84\44,1\0
"ГУБИНА УЛ., д.4","67,6\38,8","42,78\24",-37\-38
"ГУБИНА УЛ., д.5",168\125,155\110,-8\-12
"ГУБИНА УЛ., д.6","16,2\10,5",15\9,-7\-14
"ГУБИНА УЛ., д.8","171,5\65",141\48,-18\-26
"ГУБИНА УЛ., д.9, корп.1","27,12\21,7","20,8\11",-23\-49
"ГУБИНА УЛ., д.9, корп.2","68,1\34,7",42\21,-38\-39
"ГУБИНА УЛ., д.12","110,1\57,2",83\41,-25\-28
"ГУБИНА УЛ., д.13, корп.1","5,5\2,8",0\1,-100\-64
"ГУБИНА УЛ., д.13, корп.2","31,1\23,9",33\22,6\-8
"ГУБИНА УЛ., д.14","74,4\50,3",59\44,-21\-13
"ГУБИНА УЛ., д.15","75,5\27,83",2\2,-97\-93
"ГУБИНА УЛ., д.18","33,2\19,6",28\14,-16\-29
"ГУБИНА УЛ., д.19/16","55,6\49,6",36\32,-35\-35
"ГУБИНА УЛ., д.20","125,8\74,4",118\63,-6\-15
"ГУБИНА УЛ., д.21","92,5\51,4",69\39,-25\-24
"ГУБИНА УЛ., д.22/21","74,9\39,2",37\28,-51\-29
"ГУБИНА УЛ., д.23/19","141,9\65,7",246\122,73\86
"ДВИНСКАЯ УЛ., д.4","480,2\340,6",391\329,-19\-3
"ДВИНСКАЯ УЛ., д.4, корп.1","174,4\140,6",143\138,-18\-2
"ДВИНСКАЯ УЛ., д.4, корп.2","369,9\291,7",288\281,-22\-4
"ДВИНСКАЯ УЛ., д.4, корп.3","314,8\249,8",255\250,-19\0
"ДВИНСКАЯ УЛ., д.4, корп.4","192,1\188,9",144\159,-25\-16
"ДВИНСКАЯ УЛ., д.8","139,5\117,7","100,4\102",-28\-13
"ДВИНСКАЯ УЛ., д.9","74,2\37,6","104,2\52",40\38
"ДВИНСКАЯ УЛ., д.10","350,344\261",274\238,-22\-9
"ДВИНСКАЯ УЛ., д.11","241,74\159,5","225,3\166",-7\4
"ДВИНСКАЯ УЛ., д.14","224,288\146,3","195,2\143",-13\-2
"ДВИНСКАЯ УЛ., д.14, корп.4",1295\405,1318\376,2\-7
"ДВИНСКАЯ УЛ., д.16, корп.1","3648,44\1376,6","3644,9\1348",0\-2
"ДВИНСКАЯ УЛ., д.17","503,2\247,4",601\255,19\3
"ЗАЙЦЕВА УЛ., д.3","472,604\681,3","329,4\532",-30\-22
"ЗАЙЦЕВА УЛ., д.17/23","1435,76\669,8","1297,2\634",-10\-5
"ЗАЙЦЕВА УЛ., д.18/16","151,872\88,1","157,44\96",4\9
"ЗАЙЦЕВА УЛ., д.19/18","277,3\223,4",206\186,-26\-17
"ЗАЙЦЕВА УЛ., д.20","458,4\284,5",342\227,-25\-20
"ЗАЙЦЕВА УЛ., д.21","27,6\14,4",19\12,-31\-17
"ЗАЙЦЕВА УЛ., д.22/13","972,336\459,7","880,8\378",-9\-18
"ЗАЙЦЕВА УЛ., д.25","120\182,3",88\1,-27\-99
"ЗАЙЦЕВА УЛ., д.26","349,8\0","349,8\0",0\-
"ЗАЙЦЕВА УЛ., д.29","26,4\28,9",17\29,-36\0
"ЗАЙЦЕВА УЛ., д.31","383,1\242,8",252\189,-34\-22
"ЗАЙЦЕВА УЛ., д.32","191\141,5",159\140,-17\-1
"ЗАЙЦЕВА УЛ., д.33","276,42\223,6","216,8\197",-22\-12
"ЗАЙЦЕВА УЛ., д.34","111,3\52,4",106\50,-5\-5
"ЗАЙЦЕВА УЛ., д.36","313\200,1",329\207,5\3
"ЗАЙЦЕВА УЛ., д.37","177,35\106,4","152,2\108",-14\2
"ЗАЙЦЕВА УЛ., д.39","284,4\193,5",181\143,-36\-26
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","49,1\46,7","92,1\72,9",88\56
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","249,9\255",188\228,-25\-11
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","332,2\280,1",253\237,-24\-15
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","182\167,6",151\176,-17\5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","147,4\170,5",120\156,-19\-9
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","238,9\225,6",205\234,-14\4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","486,8\242,3",446\220,-8\-9
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","240,3\227,2",203\236,-16\4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","90,5\100,7",61\97,-33\-4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","85,1\79,6",62\76,-27\-5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","165,6\173,2",109\150,-34\-13
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","177,6\201,2",120\188,-32\-7
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","267,7\146,4",310\167,16\14
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","351,2\272,4",236\234,-33\-14
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","178\121,4","255\32,3",43\-73
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","714,4\305,2","577,8\227",-19\-26
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","443,3\190,5","370,5\151",-16\-21
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","62,7\38,6",36\32,-43\-17
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15","102,3\58","111,6\62",9\7
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","50,4\23,4","42,4\29",-16\24
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","212,4\152,4","35,3\53",-83\-65
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","180,2\72,9",216\72,20\-1
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","116,3\36,4",91\27,-22\-26
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","109\71,7",71\49,-35\-32
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","60,6\53,5",46\49,-24\-8
"ИВАНА ЧЕРНЫХ УЛ., д.1","30,363\19,7","3,5\2",-88\-90
"ИВАНА ЧЕРНЫХ УЛ., д.3","245,2\95,2",701\380,186\299
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","171,6\90,6",180\91,5\0
"ИВАНА ЧЕРНЫХ УЛ., д.13А",102\66,142\86,39\30
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","190,9\168,6",159\129,-17\-23
"ИВАНА ЧЕРНЫХ УЛ., д.15А","211,1\150,7",162\116,-23\-23
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","49,8\44",48\44,-4\0
"ИВАНА ЧЕРНЫХ УЛ., д.19","183,2\151,2",129\138,-30\-9
"ИВАНА ЧЕРНЫХ УЛ., д.21","77,43\72","38,3\48",-51\-33
"КАНОНЕРСКИЙ ОСТРОВ, д.7","6367,4\3483,8",6135\3166,-4\-9
"КАНОНЕРСКИЙ ОСТРОВ, д.8","4231,9\1461,2",4172\1457,-1\0
"КАНОНЕРСКИЙ ОСТРОВ, д.9","2022\799,5",2160\825,7\3
"КАНОНЕРСКИЙ ОСТРОВ, д.10","2931\1230,5",2990\1245,2\1
"КАНОНЕРСКИЙ ОСТРОВ, д.12","638,5\330",675\340,6\3
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","617,6\319,4",583\305,-6\-5
"КАНОНЕРСКИЙ ОСТРОВ, д.13","489,3\391,2",337\387,-31\-1
"КАНОНЕРСКИЙ ОСТРОВ, д.14","318,7\235,3",493\397,55\69
"КАНОНЕРСКИЙ ОСТРОВ, д.15",90\41,81\13,-10\-68
"КАНОНЕРСКИЙ ОСТРОВ, д.16","111,1\76,6",132\82,19\7
"КАНОНЕРСКИЙ ОСТРОВ, д.25","241,2\95,6",239\83,-1\-13
"КОРНЕЕВА УЛ., д.2","1084,81\611,7","1093,45\612",1\0
"КОРНЕЕВА УЛ., д.6","1352,87\332,6","1414,4\322",5\-3
"КОСИНОВА УЛ., д.5",97\48,74\37,-24\-23
"КОСИНОВА УЛ., д.7","36,8\42,2","25,76\41",-30\-3
"КОСИНОВА УЛ., д.9/9","142,1\80,8",115\70,-19\-13
"КОСИНОВА УЛ., д.14, корп.1","466,7\364,8",276\300,-41\-18
"КОСИНОВА УЛ., д.14, корп.2","186,6\139,8",125\93,-33\-33
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","897,84\454,4","715,52\362",-20\-20
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","101,1\64,4",113\73,12\13
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","359,55\236,2",306\189,-15\-20
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","517,118\287,2","652,74\295",26\3
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","380,064\201,6","373,44\199",-2\-1
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","465,8\380,7",406\340,-13\-11
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","1606,3\1390,5",1462\1652,-9\19
"ЛЕНИНСКИЙ ПР., д.120, корп.2",145\122,134\121,-8\-1
"ЛЕНИНСКИЙ ПР., д.124","2782,16\1479,9","1635,1\711",-41\-52
"ЛЕНИНСКИЙ ПР., д.130, корп.2","963,4\456,6",825\388,-14\-15
"МАЙКОВ ПЕР., д.3",86\65,55\54,-36\-17
"МАЙКОВ ПЕР., д.5А",76\40,70\38,-8\-5
"МАЙКОВ ПЕР., д.7/1",168\89,142\71,-15\-20
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","400,138\0","323,84\0",-19\-
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","343,889\283,3","252,07\229",-27\-19
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","132,728\98,9","87,42\71",-34\-28
"МАРШАЛА ГОВОРОВА УЛ., д.7","192,8\105,1",165\89,-14\-15
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","13,616\5,3","683,62\0",4921\-100
"МАРШАЛА ГОВОРОВА УЛ., д.15","67,192\98,5","45,88\86",-32\-13
"МАРШАЛА ГОВОРОВА УЛ., д.16","3867,6\1728,1",3392\1525,-12\-12
"МАРШАЛА ГОВОРОВА УЛ., д.17","102,207\74,2","73,47\67",-28\-10
"МАРШАЛА ГОВОРОВА УЛ., д.21","356,5\206,6",293\196,-18\-5
"МАРШАЛА ГОВОРОВА УЛ., д.22/10","448,04\310","447,12\325",0\5
