"ТРАКТОРНАЯ УЛ., д.5",113\77,152\103,35\34
"ТРАКТОРНАЯ УЛ., д.6",20\22,19\21,-5\-5
"ТРАКТОРНАЯ УЛ., д.6, корп.2",15\13,13\14,-13\8
"ТРАКТОРНАЯ УЛ., д.7",67\47,66\37,-1\-21
"ТРАКТОРНАЯ УЛ., д.8",11\25,36\37,227\48
"ТРАКТОРНАЯ УЛ., д.9","165,6\184,8",186\154,12\-17
"ТРАКТОРНАЯ УЛ., д.10",13\14,15\9,15\-36
"ТРАКТОРНАЯ УЛ., д.11",111\57,71\35,-36\-39
"ТРАКТОРНАЯ УЛ., д.12",40\129,36\111,-10\-14
"ТРАКТОРНАЯ УЛ., д.13",66\53,126\78,91\47
"ТРАКТОРНАЯ УЛ., д.15",112\61,89\53,-21\-13
"ТРАМВАЙНЫЙ ПР., д.5","37,4\125,4",45\103,20\-18
"ТРАМВАЙНЫЙ ПР., д.7, корп.1",133\96,104\85,-22\-11
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","517\254,1",493\272,-5\7
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","75,6\198",43\174,-43\-12
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","239,4\112,2","155\99,6",-35\-11
"ТРАМВАЙНЫЙ ПР., д.11, корп.1",14\8,10\6,-29\-25
"ТРАМВАЙНЫЙ ПР., д.11, корп.2",71\67,63\58,-11\-13
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","104,64\34,88",105\40,0\15
"ТРАМВАЙНЫЙ ПР., д.11, корп.6",783\348,774\326,-1\-6
"ТРАМВАЙНЫЙ ПР., д.13, корп.1",24\14,30\13,25\-7
"ТРАМВАЙНЫЙ ПР., д.13, корп.2",28\26,7\12,-75\-54
"ТРАМВАЙНЫЙ ПР., д.13, корп.3",74\39,61\33,-18\-15
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","87,6\94,8",74\76,-16\-20
"ТРАМВАЙНЫЙ ПР., д.15, корп.2",76\64,80\61,5\-5
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","36\88,8",24\58,-33\-35
"ТРАМВАЙНЫЙ ПР., д.17","20\31,9",30\32,50\0
"ТРЕФОЛЕВА УЛ., д.3","1021,8\431,6",1048\440,3\2
"ТРЕФОЛЕВА УЛ., д.5","110,6\140,4",118\127,7\-10
"ТРЕФОЛЕВА УЛ., д.11",39\27,47\35,21\30
"ТРЕФОЛЕВА УЛ., д.15",686\443,"658,5\369,2",-4\-17
"ТРЕФОЛЕВА УЛ., д.16","99,6\147,6",140\139,41\-6
"ТРЕФОЛЕВА УЛ., д.22/25","2269,1\988,8","2194,83\987",-3\0
"ТРЕФОЛЕВА УЛ., д.26","124,8\67,6","111\42,9",-11\-37
"ТУРБИННАЯ УЛ., д.11",182\97,150\94,-18\-3
"ТУРГЕНЕВСКИЙ ПЕР., д.3",22\10,24\12,9\20
"ТУРГЕНЕВСКИЙ ПЕР., д.5",58\61,43\67,-26\10
"УРЮПИН ПЕР., д.2/6",",01\0",",01\0",0\-
"УРЮПИН ПЕР., д.5",182\127,155\107,-15\-16
"ШВЕЦОВА УЛ., д.6",8\4,8\4,0\0
"ШВЕЦОВА УЛ., д.10","313,5\404",343\386,9\-4
"ШВЕЦОВА УЛ., д.11","369,6\178,8",450\182,22\2
"ШВЕЦОВА УЛ., д.17","508,2\247,5",546\263,7\6
"ШВЕЦОВА УЛ., д.19","822,4\361,4","765,27\340",-7\-6
"ШОТЛАНДСКАЯ УЛ., д.3",1380\520,"1322\487,8",-4\-6
