"ГЛАДКОВА УЛ., д.29","118\112","107\142","-9\27"
"ГЛАДКОВА УЛ., д.31/7","39\20","52\27","33\35"
"ГЛАДКОВА УЛ., д.33","85\44","80\42","-6\-5"
"ГЛАДКОВА УЛ., д.35","55,708\0","55,71\0","0\-"
"ГЛАДКОВА УЛ., д.39","10\5","11\5","10\0"
"ГЛАДКОВА УЛ., д.41","2\0","5\2","150\-"
"ГЛАДКОВА УЛ., д.43","26,4\20","16,5\12","-38\-40"
"ГУБИНА УЛ., д.1/32","266,63\115","249,34\117","-6\2"
"ГУБИНА УЛ., д.4","115,32\69","65,1\39","-44\-43"
"ГУБИНА УЛ., д.5","118,864\0","118,86\0","0\-"
"ГУБИНА УЛ., д.6","11\8","5\5","-55\-38"
"ГУБИНА УЛ., д.8","196\80","187\49","-5\-39"
"ГУБИНА УЛ., д.9, корп.1","37,6\25","40\26","6\4"
"ГУБИНА УЛ., д.9, корп.2","47\23","36\19","-23\-17"
"ГУБИНА УЛ., д.12","65\33","96\49","48\48"
"ГУБИНА УЛ., д.13, корп.1","46,2\28","35,28\22","-24\-21"
"ГУБИНА УЛ., д.13, корп.2","39\26","30\27","-23\4"
"ГУБИНА УЛ., д.14","67\52","67\62","0\19"
"ГУБИНА УЛ., д.15","33\18","37\19","12\6"
"ГУБИНА УЛ., д.18","23\12","50\27","117\125"
"ГУБИНА УЛ., д.19/16","97\69","60\52","-38\-25"
"ГУБИНА УЛ., д.20","92\50","99\53","8\6"
"ГУБИНА УЛ., д.21","111\67","91\48","-18\-28"
"ГУБИНА УЛ., д.22/21","52\33","70\43","35\30"
"ГУБИНА УЛ., д.23/19","155\76","117\55","-25\-28"
"ДВИНСКАЯ УЛ., д.4","468\327","340\284","-27\-13"
"ДВИНСКАЯ УЛ., д.4, корп.1","232\192","189\184","-19\-4"
"ДВИНСКАЯ УЛ., д.4, корп.2","496\340","354\304","-29\-11"
"ДВИНСКАЯ УЛ., д.4, корп.3","345\265","244\228","-29\-14"
"ДВИНСКАЯ УЛ., д.4, корп.4","240\211","199\204","-17\-3"
"ДВИНСКАЯ УЛ., д.8","182,25\153","115,83\125","-36\-18"
"ДВИНСКАЯ УЛ., д.9","260,4\139","181,35\91","-30\-35"
"ДВИНСКАЯ УЛ., д.10","407,84\283","539,84\0","32\-100"
"ДВИНСКАЯ УЛ., д.11","259,6\186","236\175","-9\-6"
"ДВИНСКАЯ УЛ., д.14","297,56\191","225,32\163","-24\-15"
"ДВИНСКАЯ УЛ., д.14, корп.4","1384\422","1497\369","8\-13"
"ДВИНСКАЯ УЛ., д.16, корп.1","4067,8\1813","3837,26\1710","-6\-6"
"ДВИНСКАЯ УЛ., д.17","592\330","633\297","7\-10"
"ЗАЙЦЕВА УЛ., д.3","196,88\366","192,28\352","-2\-4"
"ЗАЙЦЕВА УЛ., д.17/23","959,74\505","926,84\477","-3\-6"
"ЗАЙЦЕВА УЛ., д.18/16","102,72\58","115,2\67","12\16"
"ЗАЙЦЕВА УЛ., д.19/18","325\234","159\153","-51\-35"
"ЗАЙЦЕВА УЛ., д.20","318\225","229\173","-28\-23"
"ЗАЙЦЕВА УЛ., д.21","27\11","48\22","78\100"
"ЗАЙЦЕВА УЛ., д.22/13","1214,5\610","810,28\384","-33\-37"
"ЗАЙЦЕВА УЛ., д.25","132\103","85\83","-36\-19"
"ЗАЙЦЕВА УЛ., д.26","103,74\37","6,37\1","-94\-97"
"ЗАЙЦЕВА УЛ., д.29","57\44","22\32","-61\-27"
"ЗАЙЦЕВА УЛ., д.31","482\327","342\269","-29\-18"
"ЗАЙЦЕВА УЛ., д.32","219\164","157\131","-28\-20"
"ЗАЙЦЕВА УЛ., д.33","409,7\323","243,1\198","-41\-39"
"ЗАЙЦЕВА УЛ., д.34","118\56","109\47","-8\-16"
"ЗАЙЦЕВА УЛ., д.36","412\258","287\207","-30\-20"
"ЗАЙЦЕВА УЛ., д.37","351\186","270\146","-23\-22"
"ЗАЙЦЕВА УЛ., д.39","323\211","184\146","-43\-31"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","41\37","44\50","7\35"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","227\219","251\291","11\33"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","151\140","162\179","7\28"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","188\144","181\200","-4\39"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","101\106","91\121","-10\14"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","201\197","189\261","-6\32"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","343\169","464\232","35\37"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","217\188","233\254","7\35"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","74\82","59\102","-20\24"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","41\36","37\46","-10\28"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","134\136","90\136","-33\0"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","155\168","168\225","8\34"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","296\156","384\210","30\35"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","287\215","288\264","0\23"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","212,8\326","227,05\300","7\-8"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","895,3\302","700,1\253","-22\-16"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","519,45\221","609,5\250","17\13"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","44\30","70\44","59\47"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","71,61\49","40,81\27","-43\-45"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","426,97\228","300,44\202","-30\-11"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","221\91","107\101","-52\11"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","126\35","139\39","10\11"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","73\38","79\45","8\18"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","82\43","50\55","-39\28"
"ИВАНА ЧЕРНЫХ УЛ., д.1","30,45\29","33,06\33","9\14"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","158\81","160\82","1\1"
"ИВАНА ЧЕРНЫХ УЛ., д.13А","185\115","173\136","-6\18"
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","230\216","150\194","-35\-10"
"ИВАНА ЧЕРНЫХ УЛ., д.15А","278\187","226\158","-19\-16"
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","41\36","27\26","-34\-28"
"ИВАНА ЧЕРНЫХ УЛ., д.19","158\130","115\135","-27\4"
"КАЛИНИНА УЛ., д.10","178,068\0",,"-\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","8716\3229","8716\3229","0\0"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","4152\1422","4328\1462","4\3"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","2895\1200","2325\930","-20\-23"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","2750\1075","2965\1150","8\7"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","691\334","648\346","-6\4"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","635\340","534\277","-16\-19"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","444\376","330\299","-26\-20"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","365\258","307\240","-16\-7"
"КАНОНЕРСКИЙ ОСТРОВ, д.15","401,508\0","401,51\0","0\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","237\138","210\142","-11\3"
"КАНОНЕРСКИЙ ОСТРОВ, д.17","34\16","34\16","0\0"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","1095\522","912\433","-17\-17"
"КОРНЕЕВА УЛ., д.2","765,7\413","690,65\358","-10\-13"
"КОРНЕЕВА УЛ., д.6","1822,6\411","1584,05\360","-13\-12"
"КОСИНОВА УЛ., д.5","122,816\0","147,06\0","20\-"
"КОСИНОВА УЛ., д.7","122,36\16","63,48\17","-48\6"
"КОСИНОВА УЛ., д.9/9","92\63","83\59","-10\-6"
"КОСИНОВА УЛ., д.14, корп.1","336\247","386\358","15\45"
"КОСИНОВА УЛ., д.14, корп.2","301\259","269\327","-11\26"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","712,08\390","834,2\452","17\16"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","116\73","88\59","-24\-19"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","96,05\86","93,5\76","-3\-12"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","372,38\220","442,04\259","19\18"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","426,24\218","476,16\250","12\15"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","902\591","638\470","-29\-20"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","3127\2630","2144\2166","-31\-18"
"ЛЕНИНСКИЙ ПР., д.120, корп.2","230,812\0","230,812\0","0\-"
"ЛЕНИНСКИЙ ПР., д.124","2354,18\1089","2981,26\1369","27\26"
"ЛЕНИНСКИЙ ПР., д.130, корп.2","685\315","1016\483","48\53"
"МАЙКОВ ПЕР., д.3","104,576\0","125,22\0","20\-"
"МАЙКОВ ПЕР., д.5А","36,708\0","43,95\0","20\-"
"МАЙКОВ ПЕР., д.7/1","85\44","148\75","74\70"
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","496,8\0","314,64\0","-37\-"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","468,65\360","308,49\267","-34\-26"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","347,8\239","261,32\196","-25\-18"
"МАРШАЛА ГОВОРОВА УЛ., д.7","335\200","205\139","-39\-31"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","146,28\30","133,4\24","-9\-20"
"МАРШАЛА ГОВОРОВА УЛ., д.15","85,84\111","53,28\87","-38\-22"
"МАРШАЛА ГОВОРОВА УЛ., д.16","4760\1663","3711\1340","-22\-19"
"МАРШАЛА ГОВОРОВА УЛ., д.17","133,92\111","105,09\94","-22\-15"
"МАРШАЛА ГОВОРОВА УЛ., д.21","353\191","253\163","-28\-15"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","124,82\102","81,37\78","-35\-24"
"МАРШАЛА ГОВОРОВА УЛ., д.23","248\120","175\86","-29\-28"
"МАРШАЛА ГОВОРОВА УЛ., д.24","622\408","454\323","-27\-21"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","218\113","213\110","-2\-3"
"МАРШАЛА ЖУКОВА ПР., д.18А","1149\551","949\461","-17\-16"
"МАРШАЛА ЖУКОВА ПР., д.18Б","2851,56\1372","2537,74\1265","-11\-8"
"МАРШАЛА ЖУКОВА ПР., д.18В","2976\1686","2474\1406","-17\-17"
"МАРШАЛА ЖУКОВА ПР., д.18Г","1526,56\1021","1159,8\828","-24\-19"
"МАРШАЛА ЖУКОВА ПР., д.18Д","1249\713","1046\610","-16\-14"
"МАРШАЛА ЖУКОВА ПР., д.26/16А","1040\785","752\604","-28\-23"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1762,39\1003","1542,49\939","-12\-6"
"МАРШАЛА ЖУКОВА ПР., д.26/16В","1981,18\1544","1435,11\1132","-28\-27"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","1965,58\1473","1689,22\1247","-14\-15"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А","1440\990","1020\750","-29\-24"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","651\179","550\141","-16\-21"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","3565\2159","2660\1616","-25\-25"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","1961\1490","1271\1168","-35\-22"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","3349\1969","2606\1672","-22\-15"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","1483\1126","1058\854","-29\-24"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","1995\1218","1619\997","-19\-18"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","4320,01\2199","3098,92\1780","-28\-19"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","1750\1194","1758\1338","0\12"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","331\154","379\79","15\-49"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","2260\1745","2360\2012","4\15"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","1081,6\835","1021,74\830","-6\-1"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","640\298","731\153","14\-49"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","970\453","1108\232","14\-49"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1553\770","1355\1018","-13\32"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1215\551","1225\561","1\2"
