"АВТОВСКАЯ УЛ., д.21",311\166,268\137,-14\-17
"АВТОВСКАЯ УЛ., д.22","143,05\119","136,09\115",-5\-3
"АВТОВСКАЯ УЛ., д.25",132\108,219\144,66\33
"АВТОВСКАЯ УЛ., д.26/37","358,02\172",359\156,0\-9
"АВТОВСКАЯ УЛ., д.28/30",137\105,231\151,69\44
"АВТОВСКАЯ УЛ., д.29",578\263,567\235,-2\-11
"АВТОВСКАЯ УЛ., д.30",78\59,98\68,26\15
"АВТОВСКАЯ УЛ., д.32","48,42\50",49\48,1\-4
"АВТОВСКАЯ УЛ., д.34",64\59,118\59,84\0
"АВТОВСКАЯ УЛ., д.38",41\29,53\32,29\10
"АВТОВСКАЯ УЛ., д.40",151\190,125\154,-17\-19
"АВТОВСКАЯ УЛ., д.46",83\43,91\46,10\7
"АВТОВСКАЯ УЛ., д.52",75\119,107\137,43\15
"БАЛТИЙСКАЯ УЛ., д.2/14","467,5\265","540,6\308",16\16
"БАЛТИЙСКАЯ УЛ., д.12","180,42\162","259,96\225",44\39
"БАЛТИЙСКАЯ УЛ., д.14","261,44\0","261,44\0",0\-
"БАЛТИЙСКАЯ УЛ., д.17","7,29\4","8,1\5",11\25
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","342,55\25","435,2\26",27\4
"БАЛТИЙСКАЯ УЛ., д.18",8\4,127\39,1488\875
"БАЛТИЙСКАЯ УЛ., д.19А","34,98\23,72","156,104\0",346\-100
"БАЛТИЙСКАЯ УЛ., д.19Б","18,12\12,18","80,86\0",346\-100
"БАЛТИЙСКАЯ УЛ., д.20","14,93\20,26","21,81\29,27",46\44
"БАЛТИЙСКАЯ УЛ., д.21, корп.2",13\11,8\4,-38\-64
"БАЛТИЙСКАЯ УЛ., д.22","11,59\15,74","16,95\22,73",46\44
"БАЛТИЙСКАЯ УЛ., д.23",19\9,44\23,132\156
"БАЛТИЙСКАЯ УЛ., д.24","116,8\87","41,61\39",-64\-55
"БАЛТИЙСКАЯ УЛ., д.25","72,25\0","72,254\0",0\-
"БАЛТИЙСКАЯ УЛ., д.27","57,08\0","57,076\200",0\-
"БАЛТИЙСКАЯ УЛ., д.32А","41\31,16","59,82\43,48",46\40
"БАЛТИЙСКАЯ УЛ., д.32Д","15,64\11,84","22,74\16,52",45\40
"БАЛТИЙСКАЯ УЛ., д.34","283,86\0","39,01\0",-86\-
"БАЛТИЙСКАЯ УЛ., д.36/9","169,28\94","200,56\111",18\18
"БАЛТИЙСКАЯ УЛ., д.38",78\86,99\87,27\1
"БАРРИКАДНАЯ УЛ., д.3",188\117,187\101,-1\-14
"БАРРИКАДНАЯ УЛ., д.4","90,52\0","90,516\0",0\-
"БАРРИКАДНАЯ УЛ., д.34",63\38,67\37,6\-3
"БЕЛОУСОВА УЛ., д.3",32\19,37\22,16\16
"БЕЛОУСОВА УЛ., д.5",27\41,33\46,22\12
"БЕЛОУСОВА УЛ., д.6/42","293,93\167","358,54\204",22\22
