"ГЛАДКОВА УЛ., д.39В",,10\5,-\-
"ГЛАДКОВА УЛ., д.41",1\1,1\0,0\-100
"ГЛАДКОВА УЛ., д.43А",,71\35,-\-
"ГУБИНА УЛ., д.1/32",90\83,337\109,274\31
"ГУБИНА УЛ., д.3",107\44,42\0,-61\-100
"ГУБИНА УЛ., д.4",36\8,26\4,-28\-50
"ГУБИНА УЛ., д.5",137\96,106\75,-23\-22
"ГУБИНА УЛ., д.6",15\8,50\5,233\-38
"ГУБИНА УЛ., д.8",116\53,84\36,-28\-32
"ГУБИНА УЛ., д.9, корп.1",12\8,32\17,167\113
"ГУБИНА УЛ., д.9, корп.2",24\15,57\27,138\80
"ГУБИНА УЛ., д.12",64\28,58\31,-9\11
"ГУБИНА УЛ., д.13, корп.1А",,41\0,-\-
"ГУБИНА УЛ., д.13, корп.2",17\16,11\14,-35\-13
"ГУБИНА УЛ., д.14",78\37,246\44,215\19
"ГУБИНА УЛ., д.15",41\21,35\19,-15\-10
"ГУБИНА УЛ., д.18",2\1,"0\,1",-100\-90
"ГУБИНА УЛ., д.19/16",57\32,51\27,-11\-16
"ГУБИНА УЛ., д.20",89\50,57\31,-36\-38
"ГУБИНА УЛ., д.21",45\27,63\12,40\-56
"ГУБИНА УЛ., д.22/21",26\13,44\65,69\400
"ГУБИНА УЛ., д.23/19",61\32,69\33,13\3
"ДВИНСКАЯ УЛ., д.4",393\351,391\310,-1\-12
"ДВИНСКАЯ УЛ., д.4, корп.1",184\144,206\181,12\26
"ДВИНСКАЯ УЛ., д.4, корп.2","212,4\170,4",277\291,30\71
"ДВИНСКАЯ УЛ., д.4, корп.3","129,6\412",161\888,24\116
"ДВИНСКАЯ УЛ., д.4, корп.4",107\113,109\155,2\37
"ДВИНСКАЯ УЛ., д.8",154\106,142\116,-8\9
"ДВИНСКАЯ УЛ., д.9",100\6,128\47,28\683
"ДВИНСКАЯ УЛ., д.10",48\337,83\336,73\0
"ДВИНСКАЯ УЛ., д.11",279\163,252\179,-10\10
"ДВИНСКАЯ УЛ., д.14",189\101,224\159,19\57
"ДВИНСКАЯ УЛ., д.14, корп.4",1223\353,1210\405,-1\15
