"Губина ул., д.13, к.1","53,45\32,2","53,45\32,2",0\0
"Губина ул., д.13, к.2","10,65\33,35","10,65\33,35",0\0
"Губина ул., д.14","70,6\60,95","76,6\43,95",8\-28
"Губина ул., д.15","40,25\21,05","40,25\21,05",0\0
"Губина ул., д.18","123,3\78,9","173,3\54,9",41\-30
"Губина ул., д.19/16","63,4\42,4","63,4\42,4",0\0
"Губина ул., д.20","166,7\167,6","166,7\167,6",0\0
"Губина ул., д.21","71,75\42,1","71,75\42,1",0\0
"Губина ул., д.22/21","89,85\49,3","107,85\69,3",20\41
"Губина ул., д.23/19","224,85\64,55","224,85\64,55",0\0
"Двинская ул., д.4","427,3\324,4","510,3\355,4",19\10
"Двинская ул., д.4, к.1","266,6\222,9","285,6\224,9",7\1
"Двинская ул., д.4, к.2","429,35\333,55","438,35\317,55",2\-5
"Двинская ул., д.4, к.3","321,2\273,2","384,2\284,2",20\4
"Двинская ул., д.4, к.4","210,15\242,35","234,15\225,35",11\-7
"Двинская ул., д.8","128,63\126,55","146,45\129,55",14\2
"Двинская ул., д.9","361,49\186,9","299,18\151,9",-17\-19
"Двинская ул., д.10","366,57\344","317,86\284",-13\-17
"Двинская ул., д.11","286,65\181,75","335,65\199,75",17\10
"Двинская ул., д.14","189,37\131,95","303,75\207,95",60\58
"Двинская ул., д.14, к.4",1473\464,1384\441,-6\-5
"Двинская ул., д.16, к.1","3663,3\1316,9","3936,8\1676,9",7\27
"Двинская ул., д.17","614,8\325,6","620,8\289,6",1\-11
"Зайцева ул., д.3","224,99\49,95","453,99\614,95",102\1131
"Зайцева ул., д.17/23","1295,41\535,2","1449,6\565,2",12\6
"Зайцева ул., д.18/16","125,57\77,15","140,93\80,15",12\4
"Зайцева ул., д.19/18","221,95\172,6","255,95\198,6",15\15
"Зайцева ул., д.20","387,1\281,25","326,1\226,25",-16\-20
"Зайцева ул., д.21","31,9\16,6","33,9\18,6",6\12
"Зайцева ул., д.22/13","873,35\417,55","978,63\456,55",12\9
"Зайцева ул., д.25","130\113,45","107\81,45",-18\-28
"Зайцева ул., д.26","349,8\0","350,07\,15",0\-
"Зайцева ул., д.29","25,1\37,35","33,1\34,35",32\-8
"Зайцева ул., д.31","412,65\298,7","438,65\284,7",6\-5
"Зайцева ул., д.32","232,5\183,25","182,5\140,25",-22\-23
"Зайцева ул., д.33","289,68\280,9","386,58\307,9",33\10
"Зайцева ул., д.34","149,95\69,6","110,95\51,6",-26\-26
"Зайцева ул., д.36","405,5\293,65","344,5\216,65",-15\-26
"Зайцева ул., д.37","337,85\209,1","288,55\170,1",-15\-19
"Зайцева ул., д.39","222,1\181,75","247,1\175,75",11\-3
"Зины Портновой ул., д.4","70,65\87,05","75,65\85,05",7\-2
"Зины Портновой ул., д.6","255,35\309","396,35\417",55\35
"Зины Портновой ул., д.8","184,3\208,65","371,3\329,65",101\58
"Зины Портновой ул., д.10","209,5\222,9","344,5\284,9",64\28
"Зины Портновой ул., д.12","99,1\144,25","211,1\220,25",113\53
"Зины Портновой ул., д.14","198,85\246,4","330,85\338,4",66\37
"Зины Портновой ул., д.16","671,7\335,45","567,7\285,45",-15\-15
"Зины Портновой ул., д.18","197,45\207,8","371,45\342,8",88\65
"Зины Портновой ул., д.20","66,25\101,05","95,25\108,05",44\7
"Зины Портновой ул., д.22","44,15\46,9","57,15\52,9",29\13
"Зины Портновой ул., д.24","121,9\176,8","167,9\192,8",38\9
"Зины Портновой ул., д.26","146,9\219,8","247,9\260,8",69\19
"Зины Портновой ул., д.28","421,55\236,6","576,55\279,6",37\18
"Зины Портновой ул., д.30","243,3\258,1","434,3\361,1",79\40
"Зои Космодемьянской ул., д.3","231,04\303,5","222,49\305,5",-4\1
"Зои Космодемьянской ул., д.5","695,47\280,3","191,47\203,3",-72\-27
"Зои Космодемьянской ул., д.6, к.1","513\205,75","579,35\256,75",13\25
"Зои Космодемьянской ул., д.8/17","225,55\176,4","98,55\16,4",-56\-91
"Зои Космодемьянской ул., д.16/24","57,56\44,1","57,56\44,1",0\0
"Зои Космодемьянской ул., д.17/26","194,93\118,6","267,44\202,6",37\71
"Зои Космодемьянской ул., д.21","162,8\61,85","662,8\61,85",307\0
"Зои Космодемьянской ул., д.23","156,45\38,6","156,45\38,6",0\0
"Зои Космодемьянской ул., д.25/20","81,5\21,05","89,5\61,05",10\190
