"Автовская ул., д.21",367\226,360\206,-2\-9
"Двинская ул., д.4",348\280,317\272,-9\-3
"Двинская ул., д.4, к.1",235\200,236\231,0\16
"Двинская ул., д.4, к.2",298\273,247\273,-17\0
"Двинская ул., д.4, к.3",272\234,227\228,-17\-3
"Двинская ул., д.4, к.4",163\173,150\173,-8\0
"Двинская ул., д.8",196\153,202\151,3\-1
"Двинская ул., д.9",142\134,143\133,1\-1
"Двинская ул., д.10",180\345,89\353,-51\2
"Двинская ул., д.11",181\169,181\169,0\0
"Двинская ул., д.14",247\201,247\201,0\0
"Двинская ул., д.14, к.4",1425\378,1425\400,0\6
"Двинская ул., д.16, к.1",3708\1428,3708\1427,0\0
"Двинская ул., д.16, к.3",2261\1036,2263\1036,0\0
"Двинская ул., д.17",681\291,683\243,0\-16
"Зайцева ул., д.3",689\581,521\575,-24\-1
"Зайцева ул., д.17/23",1913\808,1574\733,-18\-9
"Зайцева ул., д.18/16",154\96,124\72,-19\-25
"Зайцева ул., д.19/18",165\226,138\163,-16\-28
"Зайцева ул., д.20",353\261,274\259,-22\-1
"Зайцева ул., д.21",27\15,38\21,41\40
"Зайцева ул., д.22/13",1039\512,1131\533,9\4
"Зайцева ул., д.25",61\57,58\55,-5\-4
"Зайцева ул., д.26",249\0,249\0,0\-
"Зайцева ул., д.29",11\21,3\11,-73\-48
"Зайцева ул., д.31",162\139,129\131,-20\-6
"Зайцева ул., д.32",157\163,163\149,4\-9
"Зайцева ул., д.33",249\182,238\176,-4\-3
"Зайцева ул., д.34",142\67,302\151,113\125
"Зайцева ул., д.36",290\176,281\182,-3\3
"Зайцева ул., д.37",183\97,191\92,4\-5
"Зайцева ул., д.39",179\125,152\130,-15\4
"Зины Портновой ул., д.4",172\0,172\0,0\-
"Зины Портновой ул., д.6",147\225,116\185,-21\-18
"Зины Портновой ул., д.8",179\242,158\191,-12\-21
"Зины Портновой ул., д.10",144\159,103\134,-28\-16
"Зины Портновой ул., д.12",105\167,83\140,-21\-16
"Зины Портновой ул., д.14",160\200,123\143,-23\-29
"Зины Портновой ул., д.16",529\266,475\198,-10\-26
"Зины Портновой ул., д.18",193\239,154\209,-20\-13
"Зины Портновой ул., д.20",21\58,6\22,-71\-62
"Зины Портновой ул., д.22",46\54,25\34,-46\-37
"Зины Портновой ул., д.24",79\133,53\114,-33\-14
"Зины Портновой ул., д.26",87\174,68\148,-22\-15
"Зины Портновой ул., д.28",332\170,304\154,-8\-9
"Зины Портновой ул., д.30",195\239,155\178,-21\-26
"Зои Космодемьянской ул., д.3",148\140,144\114,-3\-19
"Зои Космодемьянской ул., д.5",812\238,741\373,-9\57
"Зои Космодемьянской ул., д.6, к.1",398\168,386\179,-3\7
"Зои Космодемьянской ул., д.8/17",36\15,19\7,-47\-53
"Зои Космодемьянской ул., д.15",107\53,116\60,8\13
"Зои Космодемьянской ул., д.16/24",82\42,90\46,10\10
"Зои Космодемьянской ул., д.17/26",43\41,80\43,86\5
"Зои Космодемьянской ул., д.21",139\52,207\78,49\50
"Зои Космодемьянской ул., д.23",79\10,50\18,-37\80
"Зои Космодемьянской ул., д.25/20",58\37,71\38,22\3
"Зои Космодемьянской ул., д.27",97\82,121\101,25\23
"Зои Космодемьянской ул., д.29",2\21,8\23,300\10
"Ивана Черных ул., д.1",76\46,28\17,-63\-63
"Ивана Черных ул., д.3",201\126,175\133,-13\6
"Ивана Черных ул., д.3, к.2",138\73,260\144,88\97
"Ивана Черных ул., д.13а",94\64,96\58,2\-9
"Ивана Черных ул., д.13б",313\237,216\157,-31\-34
"Ивана Черных ул., д.15а",253\152,153\93,-40\-39
"Ивана Черных ул., д.15б",33\36,38\36,15\0
"Ивана Черных ул., д.19",134\133,73\97,-46\-27
"Ивана Черных ул., д.21",144\73,97\49,-33\-33
"Канонерский о., д.7",7534\3728,7467\3664,-1\-2
"Канонерский о., д.8",4774\1415,4663\1346,-2\-5
"Канонерский о., д.9",2730\1062,2063\840,-24\-21
"Канонерский о., д.10",2930\1200,2684\1065,-8\-11
"Канонерский о., д.11, к.1",1357\590,1203\507,-11\-14
"Канонерский о., д.12",1084\304,794\340,-27\12
"Канонерский о., д.12, к.2",657\269,637\345,-3\28
"Канонерский о., д.13",363\318,263\276,-28\-13
"Канонерский о., д.14",275\288,267\252,-3\-13
"Канонерский о., д.16",78\59,167\63,114\7
"Канонерский о., д.25",248\93,218\127,-12\37
"Корнеева ул., д.2",670\355,378\296,-44\-17
"Корнеева ул., д.6",1692\336,1449\364,-14\8
"Косинова ул., д.5",50\26,37\20,-26\-23
"Косинова ул., д.7",70\65,42\56,-40\-14
"Косинова ул., д.9/9",56\47,44\29,-21\-38
"Косинова ул., д.14, к.1",336\409,246\322,-27\-21
"Косинова ул., д.14, к.2",139\101,106\80,-24\-21
"Краснопутиловская ул., д.16/13",886\354,852\388,-4\10
"Краснопутиловская ул., д.18",91\59,57\40,-37\-32
"Краснопутиловская ул., д.20",306\0,306\0,0\-
"Краснопутиловская ул., д.26",722\296,690\352,-4\19
"Краснопутиловская ул., д.28/20",395\183,320\160,-19\-13
"Ленинский пр., д.110, к.1а",405\292,231\204,-43\-30
"Ленинский пр., д.110, к.1б",1407\1252,813\1185,-42\-5
"Ленинский пр., д.120, к.2",104\110,70\78,-33\-29
"Ленинский пр., д.121",1763\752,1389\582,-21\-23
"Ленинский пр., д.121, к.2",868,409,-53
"Ленинский пр., д.121, к.3",4\42,48\29,1100\-31
"Ленинский пр., д.124",2513\787,2381\670,-5\-15
"Ленинский пр., д.130, к.2",889\420,873\410,-2\-2
"Майков пер., д.3",35\43,50\42,43\-2
"Майков пер., д.5а",94\47,235\47,150\0
"Майков пер., д.7/1",136\69,112\47,-18\-32
"Маршала Говорова ул., д.3/7",310\0,374\0,21\-
"Маршала Говорова ул., д.5/4",335\238,301\222,-10\-7
"Маршала Говорова ул., д.6/5",156\99,161\100,3\1
"Маршала Говорова ул., д.7",83\56,143\93,72\66
"Маршала Говорова ул., д.11/3",159\18,122\12,-23\-33
"Маршала Говорова ул., д.15",36\69,30\56,-17\-19
"Маршала Говорова ул., д.16",3203\1633,3121\1354,-3\-17
"Маршала Говорова ул., д.17",37\27,61\39,65\44
"Маршала Говорова ул., д.21",192\154,146\117,-24\-24
"Маршала Говорова ул., д.22/10",638\353,557\329,-13\-7
"Маршала Говорова ул., д.22, к.2",120\93,85\73,-29\-22
"Маршала Говорова ул., д.23",185\96,216\108,17\13
"Маршала Говорова ул., д.24",287\960,358\312,25\-68
"Маршала Говорова ул., д.26, к.2",175\105,197\101,13\-4
"Маршала Жукова пр., д.18а",872\391,805\351,-8\-10
"Маршала Жукова пр., д.18б",811\231,590\191,-27\-17
"Маршала Жукова пр., д.18в",2853\1319,2418\1257,-15\-5
"Маршала Жукова пр., д.18г",1099\911,819\673,-25\-26
"Маршала Жукова пр., д.18д",920\425,587\410,-36\-4
"Маршала Жукова пр., д.20",2714\1055,2683\1019,-1\-3
"Маршала Жукова пр., д.26/16а",798\645,790\665,-1\3
"Маршала Жукова пр., д.26/16б",1565\821,1513\867,-3\6
"Маршала Жукова пр., д.26/16в",2278\1331,1601\1079,-30\-19
"Маршала Жукова пр., д.28, к.1",1864\1145,1851\1089,-1\-5
"Маршала Жукова пр., д.30, к.2а",780\540,540\390,-31\-28
"Маршала Жукова пр., д.30, к.2б",588\157,551\169,-6\8
"Маршала Жукова пр., д.30, к.2в",2602\1411,2098\1122,-19\-20
"Маршала Жукова пр., д.30, к.2г",959\944,752\655,-22\-31
"Маршала Жукова пр., д.30, к.2д",2314\850,2148\672,-7\-21
"Маршала Жукова пр., д.30, к.2е",858\924,579\578,-33\-37
"Маршала Жукова пр., д.30, к.2ж",1505\1102,1220\945,-19\-14
"Маршала Жукова пр., д.32, к.1",2446\1748,2207\1603,-10\-8
"Маршала Жукова пр., д.34, к.1а",1187\936,759\812,-36\-13
"Маршала Жукова пр., д.34, к.1б",326\67,311\59,-5\-12
"Маршала Жукова пр., д.34, к.1в",1418\1546,1412\1476,0\-5
"Маршала Жукова пр., д.34, к.1г",1007\776,727\564,-28\-27
"Маршала Жукова пр., д.34, к.1д",630\131,601\112,-5\-15
"Маршала Жукова пр., д.34, к.1е",954\198,911\170,-5\-14
"Маршала Казакова ул., д.1, к.2",701\1179,1610\1499,130\27
"Маршала Казакова ул., д.3, к.1",1381\689,1317\618,-5\-10
"Маршала Казакова ул., д.5, к.1а",509\466,528\428,4\-8
"Маршала Казакова ул., д.5, к.1б",1498\1162,1169\1013,-22\-13
"Маршала Казакова ул., д.10, к.1а",1262\614,928\1079,-26\76
"Маршала Казакова ул., д.10, к.1б",1024\608,840\583,-18\-4
"Маршала Казакова ул., д.10, к.1в",1352\710,809\677,-40\-5
"Маршала Казакова ул., д.10, к.1д",1060\0,1060\0,0\-
"Маршала Казакова ул., д.13",2250\677,1636\598,-27\-12
"Метростроевцев ул., д.2",168\467,104\0,-38\-100
"Метростроевцев ул., д.3",46\0,46\0,0\-
"Морской пехоты ул., д.4",1568\941,1932\680,23\-28
"Морской пехоты ул., д.6, к.1",1980\354,1539\267,-22\-25
"Морской пехоты ул., д.10, к.1",1763\971,1765\869,0\-11
"Морской пехоты ул., д.14",1161\536,1092\549,-6\2
"Народного ополчения пр., д.7",270\140,172\62,-36\-56
"Новаторов бул., д.1",49\87,32\55,-35\-37
"Новаторов бул., д.3",158\119,125\96,-21\-19
"Новоовсянниковская ул., д.9",17\9,16\7,-6\-22
"Новоовсянниковская ул., д.13",19\11,18\10,-5\-9
"Новоовсянниковская ул., д.17а",74\35,76\44,3\26
"Новоовсянниковская ул., д.19, к.2",31\12,218\122,603\917
"Новостроек ул., д.8",15\12,8\7,-47\-42
"Новостроек ул., д.12",168\92,90\46,-46\-50
"Новостроек ул., д.20",256\194,248\190,-3\-2
"Новостроек ул., д.25",353\179,343\168,-3\-6
"Новостроек ул., д.27",29\23,25\16,-14\-30
"Новостроек ул., д.28",87\66,108\74,24\12
"Новостроек ул., д.29",244\121,259\131,6\8
"Новостроек ул., д.31",387\191,403\202,4\6
"Новостроек ул., д.33",187\138,177\132,-5\-4
"Новостроек ул., д.35",495\229,461\249,-7\9
"Оборонная ул., д.3",152\134,106\100,-30\-25
"Оборонная ул., д.4",524\334,507\316,-3\-5
"Оборонная ул., д.5",267\242,150\188,-44\-22
"Оборонная ул., д.6",23\2,1\2,-96\0
"Оборонная ул., д.7/20",22\19,21\18,-5\-5
"Оборонная ул., д.14",95\51,134\62,41\22
"Оборонная ул., д.17/13",48\29,18\16,-63\-45
"Оборонная ул., д.19",75\37,111\56,48\51
"Оборонная ул., д.20/18",47\26,79\41,68\58
"Оборонная ул., д.23/17",404\166,417\111,3\-33
"Оборонная ул., д.27",21\7,52\27,148\286
"Огородный пер., д.4, к.3",166\177,127\111,-23\-37
"Огородный пер., д.6, к.1",166\82,222\104,34\27
"Огородный пер., д.6, к.2",198\242,38\197,-81\-19
"Огородный пер., д.11",115\143,187\58,63\-59
"Промышленная ул., д.10",35\16,52\25,49\56
"Промышленная ул., д.12",32\48,15\4,-53\-92
"Промышленная ул., д.14",59\0,59\0,0\-
"Промышленная ул., д.16",23\16,24\11,4\-31
"Промышленная ул., д.26",259\289,152\92,-41\-68
"Промышленная ул., д.28",40\50,122\31,205\-38
"Промышленная ул., д.30",33\21,28\17,-15\-19
"Промышленная ул., д.34",44\27,31\19,-30\-30
"Промышленная ул., д.36",65\37,64\34,-2\-8
"Промышленная ул., д.38",13\9,33\14,154\56
"Севастопольская ул., д.6",81\41,74\37,-9\-10
"Севастопольская ул., д.34",38\11,48\87,26\691
"Севастопольская ул., д.43",11\9,30\12,173\33
"Севастопольская ул., д.45",270\141,322\347,19\146
"Стачек пр., д.1",371\61,327\45,-12\-26
"Стачек пр., д.2/2",10\35,130\38,1200\9
"Стачек пр., д.4/1",125\130,126\100,1\-23
"Стачек пр., д.6",230\96,158\58,-31\-40
"Стачек пр., д.8/2",159\82,98\54,-38\-34
"Стачек пр., д.8а",112\0,232\11,107\-
"Стачек пр., д.9",332\254,312\219,-6\-14
"Стачек пр., д.10",22\133,109\135,395\2
"Стачек пр., д.11",152\83,98\61,-36\-27
"Стачек пр., д.13",181\156,171\123,-6\-21
"Стачек пр., д.15",33\27,46\16,39\-41
"Стачек пр., д.17",599\326,580\287,-3\-12
"Стачек пр., д.19",1006\444,1083\525,8\18
"Стачек пр., д.21",2264\730,2210\672,-2\-8
"Стачек пр., д.22",58\109,49\84,-16\-23
"Стачек пр., д.22а",933\347,821\362,-12\4
"Стачек пр., д.23",746\338,853\448,14\33
"Стачек пр., д.24",47\35,58\42,23\20
"Стачек пр., д.27",185\0,185\0,0\-
"Стачек пр., д.29",61\45,64\55,5\22
"Стачек пр., д.33/2",153\28,154\36,1\29
"Стачек пр., д.34, к.1",93\63,80\57,-14\-10
"Стачек пр., д.34, к.2",22\13,19\10,-14\-23
"Стачек пр., д.35",33\33,26\28,-21\-15
"Стачек пр., д.38",27\16,17\21,-37\31
"Стачек пр., д.41",309\176,296\230,-4\31
"Стачек пр., д.42",13\40,36\23,177\-43
"Стачек пр., д.95, к.1",2620\1439,2127\1523,-19\6
"Стачек пр., д.101, к.1а",981\575,1073\619,9\8
"Стачек пр., д.101, к.1б",625\892,411\418,-34\-53
"Стачек пр., д.101, к.1в",2064\900,1942\1140,-6\27
"Стачек пр., д.101, к.1г",903\1258,592\100,-34\-92
"Стачек пр., д.101, к.1д",1161\685,1108\647,-5\-6
"Стачек пр., д.102",49\19,50\21,2\11
"Стачек пр., д.103, к.1",1399\1170,1421\1552,2\33
"Стачек пр., д.105, к.2а",939\542,737\466,-22\-14
"Стачек пр., д.105, к.2б",1621\1310,1122\986,-31\-25
"Стачек пр., д.105, к.2в",2067\829,2022\769,-2\-7
"Стачек пр., д.105, к.2г",595\301,672\756,13\151
"Стачек пр., д.105, к.2д",2571\1782,2146\1519,-17\-15
"Стачек пр., д.105, к.2е",1308\1002,916\745,-30\-26
"Стачек пр., д.105, к.2ж",2855\1376,2475\1241,-13\-10
"Стачек пр., д.105, к.2з",1001\1002,889\901,-11\-10
"Стачек пр., д.107, к.1",1631\622,1514\584,-7\-6
"Тракторная ул., д.3",145\70,115\56,-21\-20
"Тракторная ул., д.4",88\54,87\54,-1\0
"Тракторная ул., д.4а",62\114,72\87,16\-24
"Тракторная ул., д.5",98\75,58\49,-41\-35
"Тракторная ул., д.6",12\27,9\18,-25\-33
"Тракторная ул., д.6, к.2",45\46,32\21,-29\-54
"Тракторная ул., д.7",137\0,159\0,16\-
"Тракторная ул., д.8",99\54,44\26,-56\-52
"Тракторная ул., д.9",188\179,165\162,-12\-9
"Тракторная ул., д.10",68\64,12\9,-82\-86
"Тракторная ул., д.11",80\30,84\1,5\-97
"Тракторная ул., д.12",61\148,93\137,52\-7
"Тракторная ул., д.13",81\75,184\137,127\83
"Тракторная ул., д.15",565\263,431\171,-24\-35
"Трамвайный пр., д.5",78\163,47\107,-40\-34
"Трамвайный пр., д.7, к.1",72\96,77\68,7\-29
"Трамвайный пр., д.7, к.2",442\222,425\193,-4\-13
"Трамвайный пр., д.9, к.1",120\216,109\150,-9\-31
"Трамвайный пр., д.9, к.2",229\120,160\83,-30\-31
"Трамвайный пр., д.11, к.1",21\12,9\6,-57\-50
"Трамвайный пр., д.11, к.2",62\54,51\39,-18\-28
"Трамвайный пр., д.11, к.3",151\46,159\53,5\15
"Трамвайный пр., д.11, к.6",802\351,788\352,-2\0
"Трамвайный пр., д.13, к.1",27\14,34\17,26\21
"Трамвайный пр., д.13, к.2",41\53,25\36,-39\-32
"Трамвайный пр., д.13, к.3",72\41,42\24,-42\-41
"Трамвайный пр., д.15, к.1",136\155,84\121,-38\-22
"Трамвайный пр., д.15, к.2",63\67,18\37,-71\-45
"Трамвайный пр., д.15, к.3",42\76,21\41,-50\-46
"Трамвайный пр., д.17",121\95,88\66,-27\-31
"Трефолева ул., д.3",446\126,480\182,8\44
"Трефолева ул., д.5",128\138,81\113,-37\-18
"Трефолева ул., д.11",39\29,45\32,15\10
"Трефолева ул., д.15",669\439,769\637,15\45
"Трефолева ул., д.16",86\97,63\99,-27\2
"Трефолева ул., д.22/25",1847\164,1930\202,4\23
"Трефолева ул., д.26",97\54,106\58,9\7
"Турбинная ул., д.11",44\19,42\22,-5\16
"Тургеневский пер., д.3",19\9,18\8,-5\-11
"Тургеневский пер., д.5",33\46,19\26,-42\-43
"Урюпин пер., д.5",246\227,167\121,-32\-47
"Швецова ул., д.6",82\41,48\25,-41\-39
"Швецова ул., д.10",567\665,501\614,-12\-8
"Швецова ул., д.11",642\258,507\215,-21\-17
"Швецова ул., д.17",584\327,408\196,-30\-40
"Швецова ул., д.19",924\401,954\434,3\8
"Шотландская ул., д.3",1617\550,1655\339,2\-38
