"АВТОВСКАЯ УЛ., д.21",351\180,249\156,-29\-13
"АВТОВСКАЯ УЛ., д.22","207,62\172","183,56\148",-12\-14
"АВТОВСКАЯ УЛ., д.25",245\143,219\133,-11\-7
"АВТОВСКАЯ УЛ., д.26/37","349,67\178","328,34\177",-6\-1
"АВТОВСКАЯ УЛ., д.28/30",174\100,214\122,23\22
"АВТОВСКАЯ УЛ., д.29",532\235,524\230,-2\-2
"АВТОВСКАЯ УЛ., д.30",127\77,124\72,-2\-6
"АВТОВСКАЯ УЛ., д.32","114,38\72","126,06\89",10\24
"АВТОВСКАЯ УЛ., д.34",93\51,108\83,16\63
"АВТОВСКАЯ УЛ., д.38",58\38,53\32,-9\-16
"АВТОВСКАЯ УЛ., д.40",289\189,383\245,33\30
"АВТОВСКАЯ УЛ., д.46",129\70,109\54,-16\-23
"АВТОВСКАЯ УЛ., д.52",236\159,194\133,-18\-16
"БАЛТИЙСКАЯ УЛ., д.2/14","743,75\388",680\371,-9\-4
"БАЛТИЙСКАЯ УЛ., д.12","271,6\161","310,4\180",14\12
"БАЛТИЙСКАЯ УЛ., д.14",313\0,218\0,-30\-
"БАЛТИЙСКАЯ УЛ., д.17","70,85\52","16,32\17",-77\-67
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","330,65\170","330,25\193",0\14
"БАЛТИЙСКАЯ УЛ., д.18",73\44,53\30,-27\-32
"БАЛТИЙСКАЯ УЛ., д.19","63,19\56",,-\-
"БАЛТИЙСКАЯ УЛ., д.19А",,"34,25\14,49",-\-
"БАЛТИЙСКАЯ УЛ., д.19Б",,"17,75\7,51",-\-
"БАЛТИЙСКАЯ УЛ., д.20","31\30,95","31,57\32,07",2\4
"БАЛТИЙСКАЯ УЛ., д.21, корп.2",45\24,70\38,56\58
"БАЛТИЙСКАЯ УЛ., д.22","24,08\24,05","24,44\24,93",1\4
"БАЛТИЙСКАЯ УЛ., д.23",27\11,8\10,-70\-9
"БАЛТИЙСКАЯ УЛ., д.24","57,67\98","59,86\102",4\4
"БАЛТИЙСКАЯ УЛ., д.25",72\0,"72,25\0",0\-
"БАЛТИЙСКАЯ УЛ., д.27","52,36\0","52,62\0",0\-
"БАЛТИЙСКАЯ УЛ., д.32","114,24\68",,-\-
"БАЛТИЙСКАЯ УЛ., д.32А",,"46,6\29,7",-\-
"БАЛТИЙСКАЯ УЛ., д.32Д",,"17,72\11,3",-\-
"БАЛТИЙСКАЯ УЛ., д.34","71,38\0","64,74\0",-9\-
"БАЛТИЙСКАЯ УЛ., д.36/9","207,92\117","183,08\100",-12\-15
"БАЛТИЙСКАЯ УЛ., д.38",261\154,266\158,2\3
