"Двинская ул., д.10","344,4\270","407,84\283",18\5
"Двинская ул., д.11","278,08\186","259,6\186",-7\0
"Двинская ул., д.14","301,86\184","297,56\191",-1\4
"Двинская ул., д.14, к.4",1316\390,1384\422,5\8
"Двинская ул., д.16, к.1","3903,42\1749","4067,8\1813",4\4
"Двинская ул., д.17",562\303,592\330,5\9
"Зайцева ул., д.3","165,6\495","196,88\366",19\-26
"Зайцева ул., д.17/23","1057,5\555","959,74\505",-9\-9
"Зайцева ул., д.18/16","190,08\103","102,72\58",-46\-44
"Зайцева ул., д.19/18",233\158,325\234,39\48
"Зайцева ул., д.20",449\235,318\225,-29\-4
"Зайцева ул., д.21",24\9,27\11,13\22
"Зайцева ул., д.22/13","279,83\464","1214,5\610",334\31
"Зайцева ул., д.25",102\69,132\103,29\49
"Зайцева ул., д.26","103,74\37","103,74\37",0\0
"Зайцева ул., д.29",46\28,57\44,24\57
"Зайцева ул., д.31",401\243,482\327,20\35
"Зайцева ул., д.32",213\133,219\164,3\23
"Зайцева ул., д.33","312,8\229","409,7\323",31\41
"Зайцева ул., д.34",91\46,118\56,30\22
"Зайцева ул., д.36",354\217,412\258,16\19
"Зайцева ул., д.37",246\144,351\186,43\29
"Зайцева ул., д.39",279\166,323\211,16\27
"Зины Портновой ул., д.4",75\61,41\37,-45\-39
"Зины Портновой ул., д.6",433\338,227\219,-48\-35
"Зины Портновой ул., д.8",289\233,151\140,-48\-40
"Зины Портновой ул., д.10",405\281,188\144,-54\-49
"Зины Портновой ул., д.12",227\188,101\106,-56\-44
"Зины Портновой ул., д.14",384\308,201\197,-48\-36
"Зины Портновой ул., д.16",507\252,343\169,-32\-33
"Зины Портновой ул., д.18",418\296,217\188,-48\-36
"Зины Портновой ул., д.20",170\128,74\82,-56\-36
"Зины Портновой ул., д.22",90\63,41\36,-54\-43
"Зины Портновой ул., д.24",355\252,134\136,-62\-46
"Зины Портновой ул., д.26",319\263,155\168,-51\-36
"Зины Портновой ул., д.28",565\249,296\156,-48\-37
"Зины Портновой ул., д.30",648\418,287\215,-56\-49
"Зои Космодемьянской ул., д.3","182,4\313","212,8\326",17\4
"Зои Космодемьянской ул., д.5",1060\311,"895,3\302",-16\-3
"Зои Космодемьянской ул., д.6, к.1","558,3\231","519,45\221",-7\-4
"Зои Космодемьянской ул., д.8/17",39\31,44\30,13\-3
"Зои Космодемьянской ул., д.16/24","93,94\27","71,61\49",-24\81
"Зои Космодемьянской ул., д.17/26","229,2\166","426,97\228",86\37
"Зои Космодемьянской ул., д.21",220\93,221\91,0\-2
"Зои Космодемьянской ул., д.23",133\43,126\35,-5\-19
"Зои Космодемьянской ул., д.25/20",119\61,73\38,-39\-38
"Зои Космодемьянской ул., д.29",49\30,82\43,67\43
"Ивана Черных ул., д.1","79,17\56","30,45\29",-62\-48
"Ивана Черных ул., д.3, к.2",211\109,158\81,-25\-26
"Ивана Черных ул., д.13а",258\157,185\115,-28\-27
"Ивана Черных ул., д.13б",310\251,230\216,-26\-14
"Ивана Черных ул., д.15а",305\178,278\187,-9\5
"Ивана Черных ул., д.15б",56\35,41\36,-27\3
"Ивана Черных ул., д.19",218\138,158\130,-28\-6
"Калинина ул., д.10","178,07\0","178,068\0",0\-
"Канонерский о., д.7",9070\3441,8716\3229,-4\-6
"Канонерский о., д.8",4011\1430,4152\1422,4\-1
"Канонерский о., д.9",2670\1080,2895\1200,8\11
"Канонерский о., д.10",3125\1225,2750\1075,-12\-12
"Канонерский о., д.12",720\363,691\334,-4\-8
"Канонерский о., д.12, к.2",757\380,635\340,-16\-11
"Канонерский о., д.13",496\342,444\376,-10\10
"Канонерский о., д.14",542\342,365\258,-33\-25
"Канонерский о., д.15","401,508\0","401,508\0",0\-
"Канонерский о., д.16",249\139,237\138,-5\-1
"Канонерский о., д.17",78\32,34\16,-56\-50
"Канонерский о., д.25",1122\545,1095\522,-2\-4
"Корнеева ул., д.2","681,15\379","765,7\413",12\9
"Корнеева ул., д.6","1350,9\325","1822,6\411",35\26
"Косинова ул., д.5","122,816\0","122,816\0",0\-
"Косинова ул., д.7","123,28\15","122,36\16",-1\7
"Косинова ул., д.9/9",104\62,92\63,-12\2
"Косинова ул., д.14, к.1",717\464,336\247,-53\-47
"Косинова ул., д.14, к.2",528\381,301\259,-43\-32
"Краснопутиловская ул., д.16/13","817,86\468","712,08\390",-13\-17
"Краснопутиловская ул., д.18",128\79,116\73,-9\-8
"Краснопутиловская ул., д.20","81,6\64","96,05\86",18\34
"Краснопутиловская ул., д.26","521,16\289","372,38\220",-29\-24
"Краснопутиловская ул., д.28/20","571,2\309","426,24\218",-25\-29
"Ленинский пр., д.110, к.1а",928\581,902\591,-3\2
"Ленинский пр., д.110, к.1б",3237\2632,3127\2630,-3\0
"Ленинский пр., д.120, к.2","230,81\0","230,812\0",0\-
"Ленинский пр., д.124","3780,4\1703","2354,18\1089",-38\-36
"Ленинский пр., д.130, к.2",691\320,685\315,-1\-2
"Майков пер., д.3","104,576\0","104,576\0",0\-
"Майков пер., д.5а","36,708\0","36,708\0",0\-
"Майков пер., д.7/1",141\72,85\44,-40\-39
"Маршала Говорова ул., д.3/7","473,8\0","496,8\0",5\-
"Маршала Говорова ул., д.5/4","456,82\321","468,65\360",3\12
"Маршала Говорова ул., д.6/5","329,94\203","347,8\239",5\18
"Маршала Говорова ул., д.7",308\169,335\200,9\18
"Маршала Говорова ул., д.11/3","112,24\21","146,28\30",30\43
"Маршала Говорова ул., д.15","96,94\105","85,84\111",-11\6
"Маршала Говорова ул., д.16",4190\1440,4760\1663,14\15
"Маршала Говорова ул., д.17","188,79\133","133,92\111",-29\-17
"Маршала Говорова ул., д.21",343\179,353\191,3\7
"Маршала Говорова ул., д.22, к.2","104,28\73","124,82\102",20\40
"Маршала Говорова ул., д.23",293\150,248\120,-15\-20
"Маршала Говорова ул., д.24",573\339,622\408,9\20
