"Зайцева ул., д.18/16","251,328\110,15","205,248\114,15",-18\4
"Зайцева ул., д.19/18","310,95\191,6","335,95\207,6",8\8
"Зайцева ул., д.20","582,1\322,25","706,1\392,25",21\22
"Зайцева ул., д.21","31,9\14,6","40,9\20,6",28\41
"Зайцева ул., д.22/13","1125,27\491,55","1182,61\579,55",5\18
"Зайцева ул., д.25","174\109,45","218\135,45",25\24
"Зайцева ул., д.26","350,07\1,15","350,07\1,15",0\0
"Зайцева ул., д.29","60,1\41,35","53,1\36,35",-12\-12
"Зайцева ул., д.31","506,65\270,7","570,65\317,7",13\17
"Зайцева ул., д.32","223,5\141,25","262,5\165,25",17\17
"Зайцева ул., д.33","354,28\253,9","375,53\284,9",6\12
"Зайцева ул., д.34","118,95\55,6","126,95\61,6",7\11
"Зайцева ул., д.36","382,5\218,65","425,5\247,65",11\13
"Зайцева ул., д.37","210,35\121,1","269\156,1",28\29
"Зайцева ул., д.39","321,1\195,75","403,1\229,75",26\17
"Зины Портновой ул., д.4","104,65\79,05","126,65\93,05",21\18
"Зины Портновой ул., д.6","400,35\300","434,35\321",8\7
"Зины Портновой ул., д.8","386,3\264,65","390,3\268,65",1\2
"Зины Портновой ул., д.10","298,5\194,9","291,5\189,9",-2\-3
"Зины Портновой ул., д.12","261,1\197,25","273,1\222,25",5\13
"Зины Портновой ул., д.14","381,85\282,4","381,85\276,4",0\-2
"Зины Портновой ул., д.16","538,7\271,45","545,7\275,45",1\1
"Зины Портновой ул., д.18","389,45\278,8","412,45\284,8",6\2
"Зины Портновой ул., д.20","137,25\97,05","167,25\112,05",22\15
"Зины Портновой ул., д.22","106,15\72,9","107,15\69,9",1\-4
"Зины Портновой ул., д.24","290,9\207,8","294,9\200,8",1\-3
"Зины Портновой ул., д.26","368,9\241,8","370,9\241,8",1\0
"Зины Портновой ул., д.28","404,55\207,6","339,55\198,6",-16\-4
"Зины Портновой ул., д.30","480,3\309,1","467,3\300,1",-3\-3
"Зои Космодемьянской ул., д.3","349,5\195,89","303,5\168,34",-13\-14
"Зои Космодемьянской ул., д.5","844,77\429,3","662,07\338,3",-22\-21
"Зои Космодемьянской ул., д.6, к.1","497\207,75","473,45\206,75",-5\0
"Зои Космодемьянской ул., д.8/17","145,55\79,4","91,55\53,4",-37\-33
"Зои Космодемьянской ул., д.15",,"120,9\67",-\-
"Зои Космодемьянской ул., д.16/24","48,317\35,1","35,227\23,1",-27\-34
"Зои Космодемьянской ул., д.17/26","274,938\173,6","307,458\191,6",12\10
"Зои Космодемьянской ул., д.21","541,467\94,85","209,8\81,85",-61\-14
"Зои Космодемьянской ул., д.23","119,45\44,6","140,45\45,6",18\2
"Зои Космодемьянской ул., д.25/20","115,5\66,05","112,5\71,05",-3\8
"Зои Космодемьянской ул., д.29","49,4\42,25","70,4\42,25",43\0
"Ивана Черных ул., д.1","65,119\44,55","90,349\56,55",39\27
"Ивана Черных ул., д.3","217,3\80,3","310,3\140,3",43\75
