"Зины Портновой ул., д.8",246\243,"226,8\195,6",-8\-20
"Зины Портновой ул., д.10",114\157,"74\135,6",-35\-14
"Зины Портновой ул., д.12",88\101,66\113,-25\12
"Зины Портновой ул., д.14",184\248,"129\223,6",-30\-10
"Зины Портновой ул., д.16",453\226,420\209,-7\-8
"Зины Портновой ул., д.18",172\247,198\221,15\-11
"Зины Портновой ул., д.20",40\75,"30,8\51,8",-23\-31
"Зины Портновой ул., д.22",59\75,"48,4\58,3",-18\-22
"Зины Портновой ул., д.24",74\126,"48,4\94,6",-35\-25
"Зины Портновой ул., д.26",83\184,70\159,-16\-14
"Зины Портновой ул., д.28",300\162,"261,6\139,2",-13\-14
"Зины Портновой ул., д.30",205\229,"186\229,2",-9\0
"Зои Космодемьянской ул., д.3","183\281,2",234\252,28\-10
"Зои Космодемьянской ул., д.5","571,5\222","796,5\408",39\84
"Зои Космодемьянской ул., д.6, к.1","367,65\154","475,95\204",29\32
"Зои Космодемьянской ул., д.8/17",41\28,"34\20,4",-17\-27
"Зои Космодемьянской ул., д.15","114,39\63","126,5\70",11\11
"Зои Космодемьянской ул., д.16/24","44,7\30","56,2\38",26\27
"Зои Космодемьянской ул., д.17/26","18,6\41","17,7\22",-5\-46
"Зои Космодемьянской ул., д.21",98\69,72\71,-27\3
"Зои Космодемьянской ул., д.23",96\31,82\34,-15\10
"Зои Космодемьянской ул., д.25/20",69\53,63\42,-9\-21
"Зои Космодемьянской ул., д.29",27\43,"22,5\26",-17\-40
"Ивана Черных ул., д.1","2,6\2","1,74\1",-33\-50
"Ивана Черных ул., д.3",199\110,"191,4\0",-4\-100
"Ивана Черных ул., д.3, к.2",167\86,"150,7\79,2",-10\-8
"Ивана Черных ул., д.13а",72\47,83\54,15\15
"Ивана Черных ул., д.13б",126\100,123\113,-2\13
"Ивана Черных ул., д.15а",104\89,112\70,8\-21
"Ивана Черных ул., д.15б",19\33,22\41,16\24
"Ивана Черных ул., д.19",93\107,94\111,1\4
"Ивана Черных ул., д.21","24,4\40","53,1\55",118\38
"Канонерский о., д.7",6190\2957,6154\3118,-1\5
"Канонерский о., д.8",3907\1268,3927\1462,1\15
"Канонерский о., д.9",2190\840,2280\945,4\13
"Канонерский о., д.10",2850\1155,2735\1180,-4\2
"Канонерский о., д.12",520\262,624\303,20\16
"Канонерский о., д.12, к.2",470\247,498\276,6\12
"Канонерский о., д.13",238\333,345\351,45\5
"Канонерский о., д.14",297\297,327\341,10\15
"Канонерский о., д.15",16\8,21\6,31\-25
"Канонерский о., д.16",73\53,118\48,62\-9
"Канонерский о., д.25",236\89,226\74,-4\-17
"Корнеева ул., д.2","701,1\408","674,5\420",-4\3
"Корнеева ул., д.6","1124,6\267","1345,6\357",20\34
"Косинова ул., д.5",44\22,40\21,-9\-5
"Косинова ул., д.7","18,4\33","14,72\34",-20\3
"Косинова ул., д.9/9",87\55,86\44,-1\-20
"Косинова ул., д.14, к.1",250\276,227\285,-9\3
"Косинова ул., д.14, к.2",114\80,129\93,13\16
"Краснопутиловская ул., д.16/13","682,84\327","646,1\298",-5\-9
"Краснопутиловская ул., д.18",84\54,"61,6\41,8",-27\-23
"Краснопутиловская ул., д.20",340\226,"319,77\213,4",-6\-6
"Краснопутиловская ул., д.26","460,96\244","440,3\238",-4\-2
"Краснопутиловская ул., д.28/20","386,88\204",409\217,6\6
"Ленинский пр., д.110, к.1а",291\269,"240,8\221,2",-17\-18
"Ленинский пр., д.110, к.1б",1205\1182,"1093,4\1046,1",-9\-11
"Ленинский пр., д.120, к.2",103\132,148\144,44\9
"Ленинский пр., д.124","1557,08\1342","1505,5\720",-3\-46
"Ленинский пр., д.130, к.2",847\396,"807,4\379,5",-5\-4
"Майков пер., д.3",48\50,47\54,-2\8
"Майков пер., д.5а",57\31,70\36,23\16
"Майков пер., д.7/1",113\59,149\75,32\27
"Маршала Говорова ул., д.3/7","343,16\0","294,8\0",-14\-
"Маршала Говорова ул., д.5/4","275,73\257",237\217,-14\-16
"Маршала Говорова ул., д.6/5","97,76\91","89,206\83,2",-9\-9
"Маршала Говорова ул., д.7",150\84,"136,8\78",-9\-7
"Маршала Говорова ул., д.11/3","683,62\0","683,6\0",0\-
"Маршала Говорова ул., д.15","37,74\91","25,752\74,1",-32\-19
