"Зайцева ул., д.3","319,89\0","228,89\0",-28\-
"Зайцева ул., д.17/23","533,75\326","696,75\405",31\24
"Зайцева ул., д.18/16","200\9,06",127\93,-37\926
"Зайцева ул., д.19/18",205\179,140\109,-32\-39
"Зайцева ул., д.20",417\269,388\210,-7\-22
"Зайцева ул., д.21",32\16,26\13,-19\-19
"Зайцева ул., д.22/13","868,74\541","647,74\437",-25\-19
"Зайцева ул., д.25",287\188,188\102,-34\-46
"Зайцева ул., д.26","341,14\311","341,14\311",0\0
"Зайцева ул., д.29",28\36,8\22,-71\-39
"Зайцева ул., д.31",292\265,203\155,-30\-42
"Зайцева ул., д.32",237\204,195\159,-18\-22
"Зайцева ул., д.33","140,57\267","177,57\306",26\15
"Зайцева ул., д.34",139\68,107\50,-23\-26
"Зайцева ул., д.36",436\280,346\221,-21\-21
"Зайцева ул., д.37",664\363,567\311,-15\-14
"Зайцева ул., д.39",312\215,240\172,-23\-20
"Зины Портновой ул., д.4",116\93,63\67,-46\-28
"Зины Портновой ул., д.6",209\262,172\254,-18\-3
"Зины Портновой ул., д.8",191\227,155\226,-19\0
"Зины Портновой ул., д.10",197\176,180\205,-9\16
"Зины Портновой ул., д.12",154\235,123\228,-20\-3
"Зины Портновой ул., д.14",332\345,207\298,-38\-14
"Зины Портновой ул., д.16",493\245,537\269,9\10
"Зины Портновой ул., д.18",283\296,194\270,-31\-9
"Зины Портновой ул., д.20",59\97,38\100,-36\3
"Зины Портновой ул., д.22",94\105,64\89,-32\-15
"Зины Портновой ул., д.24",119\150,88\146,-26\-3
"Зины Портновой ул., д.26",198\288,131\274,-34\-5
"Зины Портновой ул., д.28",650\299,642\316,-1\6
"Зины Портновой ул., д.30",303\264,287\278,-5\5
"Зои Космодемьянской ул., д.3",232\328,242\329,4\0
"Зои Космодемьянской ул., д.5","847,51\329","666,51\270",-21\-18
"Зои Космодемьянской ул., д.6, к.1","448,69\190","291,69\135",-35\-29
"Зои Космодемьянской ул., д.6, к.2",135\150,3\2,-98\-99
"Зои Космодемьянской ул., д.8/17",10\19,8\18,-20\-5
"Зои Космодемьянской ул., д.16/24","59,29\56","114,29\51",93\-9
"Зои Космодемьянской ул., д.17/26","392,74\282","247,74\195",-37\-31
"Зои Космодемьянской ул., д.21",204\85,211\84,3\-1
"Зои Космодемьянской ул., д.23",208\64,238\55,14\-14
"Зои Космодемьянской ул., д.25/20",89\75,68\59,-24\-21
"Зои Космодемьянской ул., д.29",75\70,74\65,-1\-7
"Ивана Черных ул., д.1",30\20,42\21,40\5
"Ивана Черных ул., д.3, к.2",111\57,189\98,70\72
"Ивана Черных ул., д.13",540\325,427\403,-21\24
"Ивана Черных ул., д.15",151\142,236\239,56\68
"Ивана Черных ул., д.19",216\150,221\188,2\25
"Калинина ул., д.10",360\0,360\0,0\-
"Канонерский о., д.7",10128\3893,9619\3477,-5\-11
"Канонерский о., д.8","2652,4\1208","3064,4\1388",16\15
"Канонерский о., д.9",207\87,2580\1035,1146\1090
"Канонерский о., д.10",181\76,2935\1185,1522\1459
"Канонерский о., д.12",604\311,513\262,-15\-16
"Канонерский о., д.12, к.2",876\444,812\414,-7\-7
"Канонерский о., д.13",383\347,285\260,-26\-25
"Канонерский о., д.14",338\274,247\244,-27\-11
