"АВТОВСКАЯ УЛ., д.21",155\91,335\181,116\99
"АВТОВСКАЯ УЛ., д.22",233\124,494\259,112\109
"АВТОВСКАЯ УЛ., д.25",108\70,218\133,102\90
"АВТОВСКАЯ УЛ., д.28/30",296\191,478\273,61\43
"АВТОВСКАЯ УЛ., д.29",493\93,868\221,76\138
"АВТОВСКАЯ УЛ., д.30",104\73,164\106,58\45
"АВТОВСКАЯ УЛ., д.32",315\202,402\260,28\29
"АВТОВСКАЯ УЛ., д.34",17\145,586\231,3347\59
"АВТОВСКАЯ УЛ., д.38",46\27,101\62,120\130
"АВТОВСКАЯ УЛ., д.40",423\277,509\326,20\18
"АВТОВСКАЯ УЛ., д.46",128\68,117\62,-9\-9
"АВТОВСКАЯ УЛ., д.52",286\193,355\228,24\18
"БАЛТИЙСКАЯ УЛ., д.2/14",450\155,370\150,-18\-3
"БАЛТИЙСКАЯ УЛ., д.12",315\152,310\150,-2\-1
"БАЛТИЙСКАЯ УЛ., д.14",600\315,585\496,-3\57
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",735,726,-1
"БАЛТИЙСКАЯ УЛ., д.18",80\63,59\59,-26\-6
"БАЛТИЙСКАЯ УЛ., д.19",77\51,72\48,-6\-6
"БАЛТИЙСКАЯ УЛ., д.20",30\56,36\21,20\-63
"БАЛТИЙСКАЯ УЛ., д.21",49\27,29\18,-41\-33
"БАЛТИЙСКАЯ УЛ., д.22",24\44,29\17,21\-61
"БАЛТИЙСКАЯ УЛ., д.23",957\702,19\10,-98\-99
"БАЛТИЙСКАЯ УЛ., д.24",18\30,15\25,-17\-17
"БАЛТИЙСКАЯ УЛ., д.25",74\40,54\35,-27\-13
"БАЛТИЙСКАЯ УЛ., д.27",46\23,36\19,-22\-17
"БАЛТИЙСКАЯ УЛ., д.32",67\40,59\30,-12\-25
"БАЛТИЙСКАЯ УЛ., д.34",59\0,43\0,-27\-
"БАЛТИЙСКАЯ УЛ., д.36/9",119\61,102\49,-14\-20
"БАЛТИЙСКАЯ УЛ., д.38",134\90,107\72,-20\-20
"БАРРИКАДНАЯ УЛ., д.3",268\0,405\0,51\-
"БАРРИКАДНАЯ УЛ., д.4",201\157,215\201,7\28
"БАРРИКАДНАЯ УЛ., д.34",83\43,99\54,19\26
"БЕЛОУСОВА УЛ., д.3",89\61,104\67,17\10
"БЕЛОУСОВА УЛ., д.10",250\122,382\259,53\112
"БЕЛОУСОВА УЛ., д.14/41",123\62,282\198,129\219
"БЕЛОУСОВА УЛ., д.16",128\143,140\180,9\26
"БЕЛОУСОВА УЛ., д.18",70\0,49\31,-30\-
"БЕЛОУСОВА УЛ., д.18, корп.1",,51,
"БЕЛОУСОВА УЛ., д.20",52\28,56\35,8\25
"БЕЛОУСОВА УЛ., д.24/32",33\25,49\31,48\24
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",328\72,390\145,19\101
