"Губина ул., д.20",96\53,124\63,29\19
"Губина ул., д.21",110\58,83\43,-25\-26
"Губина ул., д.22/21",43\31,89\37,107\19
"Губина ул., д.23/19",121\60,99\49,-18\-18
"Двинская ул., д.4",452\285,557\324,23\14
"Двинская ул., д.4, к.1",272\180,362\214,33\19
"Двинская ул., д.4, к.2",491\303,615\348,25\15
"Двинская ул., д.4, к.3",349\245,450\280,29\14
"Двинская ул., д.4, к.4",273\202,323\210,18\4
"Двинская ул., д.8","147,42\117","200,88\140",36\20
"Двинская ул., д.9","209,25\111","317,13\166",52\50
"Двинская ул., д.10","1151,08\91","1205,88\109",5\20
"Двинская ул., д.11","445,28\0","445,28\0",0\-
"Двинская ул., д.14","208,98\128","274,34\167",31\30
"Двинская ул., д.14, к.4",1202\350,1473\431,23\23
"Двинская ул., д.16, к.1","3556,42\1345","4011,14\1703",13\27
"Двинская ул., д.17",506\270,603\317,19\17
"Зайцева ул., д.3","337,64\0","340,4\342",1\-
"Зайцева ул., д.17/23","1106,38\572","905,22\465",-18\-19
"Зайцева ул., д.18/16","71,04\135","176,64\94",149\-30
"Зайцева ул., д.19/18",271\176,336\195,24\11
"Зайцева ул., д.20",372\219,478\249,28\14
"Зайцева ул., д.21",25\12,28\13,12\8
"Зайцева ул., д.22/13","808,4\399",1097\495,36\24
"Зайцева ул., д.25",153\101,238\144,56\43
"Зайцева ул., д.26","103,74\37","103,74\37",0\0
"Зайцева ул., д.29",60\41,60\41,0\0
"Зайцева ул., д.31",429\263,504\277,17\5
"Зайцева ул., д.32",219\146,218\129,0\-12
"Зайцева ул., д.33","371,45\265","399,5\265",8\0
"Зайцева ул., д.34",125\63,100\52,-20\-17
"Зайцева ул., д.36",368\222,353\209,-4\-6
"Зайцева ул., д.37",354\178,309\158,-13\-11
"Зайцева ул., д.39",326\199,333\193,2\-3
"Зины Портновой ул., д.4",101\86,75\59,-26\-31
"Зины Портновой ул., д.6",440\359,307\212,-30\-41
"Зины Портновой ул., д.8",387\300,250\175,-35\-42
"Зины Портновой ул., д.10",459\304,313\202,-32\-34
"Зины Портновой ул., д.12",213\182,181\135,-15\-26
"Зины Портновой ул., д.14",425\346,345\241,-19\-30
"Зины Портновой ул., д.16",528\267,335\170,-37\-36
"Зины Портновой ул., д.18",473\337,304\201,-36\-40
"Зины Портновой ул., д.20",141\121,117\80,-17\-34
"Зины Портновой ул., д.22",152\123,109\80,-28\-35
"Зины Портновой ул., д.24",292\216,241\152,-17\-30
"Зины Портновой ул., д.26",420\336,309\214,-26\-36
"Зины Портновой ул., д.28",682\346,449\239,-34\-31
"Зины Портновой ул., д.30",554\388,470\282,-15\-27
"Зои Космодемьянской ул., д.3","311,6\202","162,45\300",-48\49
"Зои Космодемьянской ул., д.5","717,3\265","545,4\202",-24\-24
"Зои Космодемьянской ул., д.6, к.1","415,15\178","358,15\123",-14\-31
"Зои Космодемьянской ул., д.6, к.2",1\1,1\1,0\0
"Зои Космодемьянской ул., д.8/17",31\21,39\27,26\29
"Зои Космодемьянской ул., д.16/24","49,28\0","66,99\37",36\-
"Зои Космодемьянской ул., д.17/26","237,15\164","159,96\110",-33\-33
"Зои Космодемьянской ул., д.21",220\91,205\86,-7\-5
"Зои Космодемьянской ул., д.23",147\47,119\36,-19\-23
"Зои Космодемьянской ул., д.25/20",97\53,73\37,-25\-30
"Зои Космодемьянской ул., д.29",71\126,171\55,141\-56
"Ивана Черных ул., д.1",40\28,"40,89\30",2\7
"Ивана Черных ул., д.3, к.2",175\89,149\77,-15\-13
"Ивана Черных ул., д.13",546\386,554\345,1\-11
"Ивана Черных ул., д.15",491\297,397\232,-19\-22
"Ивана Черных ул., д.19",290\200,270\153,-7\-24
"Калинина ул., д.10",200\0,200\0,0\-
"Канонерский о., д.7",9809\3583,9505\3579,-3\0
"Канонерский о., д.8",4778\1584,"4360,5\1642",-9\4
"Канонерский о., д.9",3135\1320,2940\1170,-6\-11
"Канонерский о., д.10",3010\1190,3050\1255,1\5
"Канонерский о., д.12",763\382,729\371,-4\-3
"Канонерский о., д.12, к.2",836\417,804\410,-4\-2
"Канонерский о., д.13",588\370,650\378,11\2
"Канонерский о., д.14",514\331,653\390,27\18
"Канонерский о., д.15","480,8\0","480,8\0",0\-
"Канонерский о., д.16",205\122,286\160,40\31
"Канонерский о., д.17",78\39,88\24,13\-38
"Канонерский о., д.25",919\436,861\311,-6\-29
"Корнеева ул., д.2","677,35\367","638,4\354",-6\-4
"Корнеева ул., д.6","1415,25\346","1499,4\367",6\6
"Косинова ул., д.5","147,1\0","147,1\0",0\-
"Косинова ул., д.7","32,2\16","27,6\13",-14\-19
"Косинова ул., д.9/9",92\65,103\71,12\9
"Косинова ул., д.14, к.1",656\435,597\353,-9\-19
"Косинова ул., д.14, к.2",751\479,489\288,-35\-40
"Краснопутиловская ул., д.16/13","847,96\429","795,5\398",-6\-7
"Краснопутиловская ул., д.18",106\62,90\50,-15\-19
"Краснопутиловская ул., д.20","161,5\99","139,4\96",-14\-3
"Краснопутиловская ул., д.26","521,16\292","515,14\282",-1\-3
"Краснопутиловская ул., д.28/20",768\413,"747,84\392",-3\-5
"Ленинский пр., д.110, к.1а",737\463,870\513,18\11
"Ленинский пр., д.110, к.1б",3815\2697,4291\2742,12\2
"Ленинский пр., д.120, к.2",233\152,233\152,0\0
"Ленинский пр., д.124","3376,4\1621","2078,3\1003",-38\-38
"Майков пер., д.3","125,2\0","125,2\0",0\-
"Майков пер., д.5а",46\0,46\0,0\-
"Майков пер., д.7/1",125\65,106\55,-15\-15
"Маршала Говорова ул., д.5/4","543,27\405","307,58\211",-43\-48
"Маршала Говорова ул., д.6/5","204,92\139","285,76\168",39\21
"Маршала Говорова ул., д.7",307\185,349\192,14\4
"Маршала Говорова ул., д.11/3","297,16\147","172,96\49",-42\-67
"Маршала Говорова ул., д.15","98,42\99","96,94\90",-2\-9
"Маршала Говорова ул., д.16",4143\1601,3920\1497,-5\-6
"Маршала Говорова ул., д.17","165,54\119","191,58\115",16\-3
"Маршала Говорова ул., д.21",393\217,353\189,-10\-13
"Маршала Говорова ул., д.22, к.2","112,97\89","104,28\74",-8\-17
"Маршала Говорова ул., д.23",372\153,227\150,-39\-2
"Маршала Говорова ул., д.24",567\247,517\301,-9\22
"Маршала Говорова ул., д.26, к.2",298\152,186\96,-38\-37
"Маршала Жукова пр., д.18а",1159\519,1976\869,70\67
"Маршала Жукова пр., д.18б","2395,8\1139","3087,8\1407",29\24
"Маршала Жукова пр., д.18в",2609\3401,2934\1531,12\-55
"Маршала Жукова пр., д.18г","1454,3\756","1929,6\1004",33\33
"Маршала Жукова пр., д.18д",1205\657,1503\748,25\14
"Маршала Жукова пр., д.26/16а",1069\742,1268\863,19\16
"Маршала Жукова пр., д.26/16б",1874\1086,"2340,6\1191",25\10
"Маршала Жукова пр., д.26/16в","2241,7\1493","3960,5\2295",77\54
"Маршала Жукова пр., д.28, к.1","2243,2\1453","4041,5\2559",80\76
"Маршала Жукова пр., д.30, к.2а",1500\900,2100\990,40\10
"Маршала Жукова пр., д.30, к.2б",1026\591,627\156,-39\-74
"Маршала Жукова пр., д.30, к.2в",3437\1723,3573\1662,4\-4
"Маршала Жукова пр., д.30, к.2г",1929\1141,1833\961,-5\-16
"Маршала Жукова пр., д.30, к.2д",3245\1668,3213\1518,-1\-9
"Маршала Жукова пр., д.30, к.2е",1497\1055,1587\1008,6\-4
"Маршала Жукова пр., д.30, к.2ж",1980\1071,2019\1034,2\-3
"Маршала Жукова пр., д.32, к.1","4660,9\2292","3946,9\1967",-15\-14
"Маршала Жукова пр., д.34, к.1а",1929\1267,1893\1155,-2\-9
