"АВТОВСКАЯ УЛ., д.21",376\212,366\205,-3\-3
"АВТОВСКАЯ УЛ., д.22",304\256,304\256,0\0
"АВТОВСКАЯ УЛ., д.25",230\154,202\98,-12\-36
"АВТОВСКАЯ УЛ., д.26/37",552\270,543\247,-2\-9
"АВТОВСКАЯ УЛ., д.28/30",367\220,356\187,-3\-15
"АВТОВСКАЯ УЛ., д.29",863\410,841\396,-3\-3
"АВТОВСКАЯ УЛ., д.30",124\79,110\73,-11\-8
"АВТОВСКАЯ УЛ., д.32",104\76,87\73,-16\-4
"АВТОВСКАЯ УЛ., д.34",116\69,144\48,24\-30
"АВТОВСКАЯ УЛ., д.38",67\47,76\54,13\15
"АВТОВСКАЯ УЛ., д.40",206\118,167\132,-19\12
"АВТОВСКАЯ УЛ., д.46",16\11,12\9,-25\-18
"АВТОВСКАЯ УЛ., д.52",164\123,152\114,-7\-7
"БАЛТИЙСКАЯ УЛ., д.2/14",1040\523,1024\510,-2\-2
"БАЛТИЙСКАЯ УЛ., д.12",390\239,374\223,-4\-7
"БАЛТИЙСКАЯ УЛ., д.14",659\333,648\328,-2\-2
"БАЛТИЙСКАЯ УЛ., д.17",42\39,28\23,-33\-41
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",473\272,459\265,-3\-3
"БАЛТИЙСКАЯ УЛ., д.18",31\19,18\8,-42\-58
"БАЛТИЙСКАЯ УЛ., д.19А",26\16,18\14,-31\-13
"БАЛТИЙСКАЯ УЛ., д.19Б",14\8,9\7,-36\-13
"БАЛТИЙСКАЯ УЛ., д.20",12\16,10\12,-17\-25
"БАЛТИЙСКАЯ УЛ., д.21",31\15,19\10,-39\-33
"БАЛТИЙСКАЯ УЛ., д.21, корп.2",22\11,20\10,-9\-9
"БАЛТИЙСКАЯ УЛ., д.22",10\12,8\9,-20\-25
"БАЛТИЙСКАЯ УЛ., д.23",54\15,49\14,-9\-7
"БАЛТИЙСКАЯ УЛ., д.24",88\58,79\48,-10\-17
"БАЛТИЙСКАЯ УЛ., д.25",80\41,83\44,4\7
"БАЛТИЙСКАЯ УЛ., д.27",72\46,48\32,-33\-30
"БАЛТИЙСКАЯ УЛ., д.32А",83\46,53\28,-36\-39
"БАЛТИЙСКАЯ УЛ., д.32Д",31\18,20\11,-35\-39
"БАЛТИЙСКАЯ УЛ., д.34",2\0,2\0,0\-
"БАЛТИЙСКАЯ УЛ., д.36/9",84\45,79\43,-6\-4
"БАЛТИЙСКАЯ УЛ., д.38",460\263,414\224,-10\-15
"БАРРИКАДНАЯ УЛ., д.3",165\86,151\80,-8\-7
"БАРРИКАДНАЯ УЛ., д.4",148\74,124\54,-16\-27
"БАРРИКАДНАЯ УЛ., д.5",311\270,263\249,-15\-8
"БАРРИКАДНАЯ УЛ., д.34",79\41,68\35,-14\-15
"БЕЛОУСОВА УЛ., д.3",49\25,34\19,-31\-24
"БЕЛОУСОВА УЛ., д.5",97\53,94\33,-3\-38
"БЕЛОУСОВА УЛ., д.6/42",314\177,311\182,-1\3
"БЕЛОУСОВА УЛ., д.10",157\98,138\80,-12\-18
"БЕЛОУСОВА УЛ., д.14/41",21\4,21\4,0\0
"БЕЛОУСОВА УЛ., д.16",82\60,96\43,17\-28
"БЕЛОУСОВА УЛ., д.18",119\67,105\59,-12\-12
"БЕЛОУСОВА УЛ., д.18, корп.1",182\153,162\144,-11\-6
"БЕЛОУСОВА УЛ., д.20",49\24,44\22,-10\-8
"БЕЛОУСОВА УЛ., д.22",20\9,17\8,-15\-11
"БЕЛОУСОВА УЛ., д.24/32",45\34,32\29,-29\-15
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",21\8,30\13,43\63
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",15\6,18\11,20\83
"ВАСИ АЛЕКСЕЕВА УЛ., д.10",317\0,317\0,0\-
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",198\126,174\114,-12\-10
"ВАСИ АЛЕКСЕЕВА УЛ., д.16",169\127,154\114,-9\-10
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",224\133,217\138,-3\4
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24",165\60,273\89,65\48
"ВАСИ АЛЕКСЕЕВА УЛ., д.21",89\55,74\50,-17\-9
"ВАСИ АЛЕКСЕЕВА УЛ., д.22",1134\645,1079\627,-5\-3
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",273\147,231\140,-15\-5
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",110\69,113\84,3\22
"ВАСИ АЛЕКСЕЕВА УЛ., д.26",434\313,448\355,3\13
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",193\129,167\123,-13\-5
"ВАСИ АЛЕКСЕЕВА УЛ., д.30",458\309,424\308,-7\0
"ВОЗРОЖДЕНИЯ УЛ., д.7/25",376\228,372\216,-1\-5
"ВОЗРОЖДЕНИЯ УЛ., д.9",12\6,10\8,-17\33
"ВОЗРОЖДЕНИЯ УЛ., д.15",87\56,70\55,-20\-2
"ВОЗРОЖДЕНИЯ УЛ., д.19/38",691\391,674\371,-2\-5
"ВОЗРОЖДЕНИЯ УЛ., д.23",82\38,58\29,-29\-24
"ВОЗРОЖДЕНИЯ УЛ., д.25",101\49,80\41,-21\-16
"ВОЗРОЖДЕНИЯ УЛ., д.27",199\112,180\107,-10\-4
"ГЛАДКОВА УЛ., д.1",51\47,35\40,-31\-15
"ГЛАДКОВА УЛ., д.1А",63\33,62\31,-2\-6
"ГЛАДКОВА УЛ., д.7/10",13\27,18\39,38\44
"ГЛАДКОВА УЛ., д.11",35\19,37\3,6\-84
"ГЛАДКОВА УЛ., д.13",30\17,23\15,-23\-12
"ГЛАДКОВА УЛ., д.17",48\42,148\58,208\38
"ГЛАДКОВА УЛ., д.19",89\82,76\83,-15\1
"ГЛАДКОВА УЛ., д.21",27\13,23\12,-15\-8
"ГЛАДКОВА УЛ., д.23",218\149,198\141,-9\-5
"ГЛАДКОВА УЛ., д.24/7",126\66,31\14,-75\-79
"ГЛАДКОВА УЛ., д.25",209\96,182\74,-13\-23
"ГЛАДКОВА УЛ., д.26",110\55,90\46,-18\-16
"ГЛАДКОВА УЛ., д.29",222\137,209\147,-6\7
"ГЛАДКОВА УЛ., д.31/7",30\16,27\15,-10\-6
"ГЛАДКОВА УЛ., д.33",200\76,190\86,-5\13
"ГЛАДКОВА УЛ., д.35",91\83,71\47,-22\-43
"ГЛАДКОВА УЛ., д.39",142\70,67\32,-53\-54
"ГЛАДКОВА УЛ., д.41",1\1,1\1,0\0
"ГЛАДКОВА УЛ., д.43",29\22,21\16,-28\-27
"ГУБИНА УЛ., д.1/32",214\91,194\71,-9\-22
"ГУБИНА УЛ., д.3",92\44,82\40,-11\-9
"ГУБИНА УЛ., д.4",8\7,17\7,113\0
"ГУБИНА УЛ., д.5",215\145,196\122,-9\-16
"ГУБИНА УЛ., д.6",19\9,17\7,-11\-22
"ГУБИНА УЛ., д.8",84\50,123\50,46\0
"ГУБИНА УЛ., д.9, корп.1",101\66,75\50,-26\-24
"ГУБИНА УЛ., д.9, корп.2",70\59,56\59,-20\0
"ГУБИНА УЛ., д.12",82\41,73\37,-11\-10
"ГУБИНА УЛ., д.13, корп.1",41\0,41\0,0\-
"ГУБИНА УЛ., д.13, корп.2",34\18,20\14,-41\-22
"ГУБИНА УЛ., д.14",48\27,67\43,40\59
"ГУБИНА УЛ., д.15",86\44,78\41,-9\-7
"ГУБИНА УЛ., д.18",2\2,2\0,0\-100
"ГУБИНА УЛ., д.19/16",67\37,39\31,-42\-16
"ГУБИНА УЛ., д.20",265\76,84\45,-68\-41
"ГУБИНА УЛ., д.21",75\44,72\38,-4\-14
"ГУБИНА УЛ., д.22/21",21\11,11\5,-48\-55
"ГУБИНА УЛ., д.23/19",144\74,115\58,-20\-22
"ДВИНСКАЯ УЛ., д.4",563\289,539\302,-4\4
"ДВИНСКАЯ УЛ., д.4, корп.1",260\168,283\200,9\19
"ДВИНСКАЯ УЛ., д.4, корп.2",398\260,358\263,-10\1
"ДВИНСКАЯ УЛ., д.4, корп.3",389\223,364\216,-6\-3
"ДВИНСКАЯ УЛ., д.4, корп.4",278\143,251\156,-10\9
"ДВИНСКАЯ УЛ., д.8",161\125,146\119,-9\-5
"ДВИНСКАЯ УЛ., д.9",149\75,134\67,-10\-11
"ДВИНСКАЯ УЛ., д.10",387\238,376\238,-3\0
"ДВИНСКАЯ УЛ., д.11",286\192,240\161,-16\-16
