"Автовская ул., д.21",353\193,351\180,-1\-7
"Автовская ул., д.22","177,232\147","154,446\130",-13\-12
"Автовская ул., д.25",224\165,303\188,35\14
"Автовская ул., д.26/37","413,668\199","417,379\213",1\7
"Автовская ул., д.28/30",210\151,150\103,-29\-32
"Автовская ул., д.29",755\413,554\324,-27\-22
"Автовская ул., д.30",117\92,87\76,-26\-17
"Автовская ул., д.32","71,797\67","71,797\55",0\-18
"Автовская ул., д.34",81\61,94\59,16\-3
"Автовская ул., д.38",67\45,49\30,-27\-33
"Автовская ул., д.40",176\181,221\187,26\3
"Автовская ул., д.46",103\55,100\51,-3\-7
"Автовская ул., д.52",175\189,164\156,-6\-17
"Балтийская ул., д.2/14","587,35\293","526,15\310",-10\6
"Балтийская ул., д.12","167,81\137","230,86\146",38\7
"Балтийская ул., д.14",979\0,313\0,-68\-
"Балтийская ул., д.17","264,06\0","70,761\0",-73\-
"Балтийская ул., д.17, к.2","4843,3\0",1360\0,-72\-
"Балтийская ул., д.18",34\23,100\65,194\183
"Балтийская ул., д.19","67,64\68","62,3\53",-8\-22
"Балтийская ул., д.20","35,59\46,71","43,91\54,59",23\17
"Балтийская ул., д.21",41\41,42\36,2\-12
"Балтийская ул., д.22","27,65\36,29","34,12\42,41",23\17
"Балтийская ул., д.23",25\10,27\13,8\30
"Балтийская ул., д.24","33,58\63","40,15\55",20\-13
"Балтийская ул., д.25",269\0,"72,25\0",-73\-
"Балтийская ул., д.27","332,64\0","52,621\0",-84\-
"Балтийская ул., д.32","60,48\50","81,6\61",35\22
"Балтийская ул., д.34","67,23\0","85,49\0",27\-
"Балтийская ул., д.36/9","147,2\81","214,36\120",46\48
"Балтийская ул., д.38",119\152,245\194,106\28
"Баррикадная ул., д.3",310\20,380\50,23\150
"Баррикадная ул., д.4",214\0,"108,4\0",-49\-
"Баррикадная ул., д.34",67\34,94\43,40\26
"Белоусова ул., д.3",77\38,65\36,-16\-5
"Белоусова ул., д.5",31\46,58\47,87\2
"Белоусова ул., д.6/42","289,38\197","539,63\324",86\64
"Белоусова ул., д.10","231,75\0","67,702\0",-71\-
"Белоусова ул., д.14/41",235\0,"55,24\0",-76\-
"Белоусова ул., д.16","240,7\68",182\86,-24\26
"Белоусова ул., д.18",85\45,167\92,96\104
"Белоусова ул., д.18, к.1",119\114,190\172,60\51
"Белоусова ул., д.20",57\56,85\67,49\20
"Белоусова ул., д.22",1176\501,1762\608,50\21
"Белоусова ул., д.24/32","5,46\4","17,29\1",217\-75
"Васи Алексеева ул., д.7","235,2\122","125,44\71",-47\-42
"Васи Алексеева ул., д.9","44,64\32","26,97\22",-40\-31
"Васи Алексеева ул., д.10","422,24\203","535,99\238",27\17
"Васи Алексеева ул., д.11",142\118,152\103,7\-13
"Васи Алексеева ул., д.17",164\180,209\178,27\-1
"Васи Алексеева ул., д.20/24","171,7\157","128,35\85",-25\-46
"Васи Алексеева ул., д.21","124,5\145","166,5\147",34\1
"Васи Алексеева ул., д.22","435,84\306","394,56\355",-9\16
"Васи Алексеева ул., д.24",363\234,291\209,-20\-11
"Васи Алексеева ул., д.25",175\187,202\176,15\-6
"Васи Алексеева ул., д.26","354,71\320","288,35\255",-19\-20
"Васи Алексеева ул., д.28",195\125,190\130,-3\4
"Васи Алексеева ул., д.30","411,35\299","368,6\257",-10\-14
"Возрождения ул., д.7/25","2969,49\0","835,419\0",-72\-
"Возрождения ул., д.9","31,98\37","46,8\40",46\8
"Возрождения ул., д.15","190,08\171","174,24\140",-8\-18
"Возрождения ул., д.19/38","560,79\391","539,4\360",-4\-8
"Возрождения ул., д.23",271\167,200\130,-26\-22
"Возрождения ул., д.25",268\183,237\176,-12\-4
"Возрождения ул., д.27",252\146,230\134,-9\-8
"Гладкова ул., д.1","95,59\116","125,61\126",31\9
"Гладкова ул., д.1а",74\33,95\44,28\33
"Гладкова ул., д.7/10","24,96\51","25,92\53",4\4
"Гладкова ул., д.11",27\9,50\13,85\44
"Гладкова ул., д.13",5\8,28\20,460\150
"Гладкова ул., д.17",265\170,345\260,30\53
"Гладкова ул., д.19",21\9,85\71,305\689
"Гладкова ул., д.21",255\0,"112,2\0",-56\-
"Гладкова ул., д.23",152\141,172\140,13\-1
"Гладкова ул., д.24/7",77\46,109\61,42\33
"Гладкова ул., д.25",254\216,399\297,57\38
"Гладкова ул., д.26",177\104,217\116,23\12
"Гладкова ул., д.29",63\89,105\110,67\24
"Гладкова ул., д.31/7",55\0,106\0,93\-
"Гладкова ул., д.33",97\57,162\87,67\53
"Гладкова ул., д.35",231\0,"66,7\0",-71\-
"Гладкова ул., д.39",36\20,54\28,50\40
"Гладкова ул., д.41",1\1,1\1,0\0
"Гладкова ул., д.43","17,82\14","18,48\14",4\0
"Губина ул., д.1/32","190,19\82","262,08\102",38\24
"Губина ул., д.4","84,63\49","104,16\81",23\65
"Губина ул., д.5","429,44\0","429,44\0",0\-
"Губина ул., д.6",104\54,107\59,3\9
"Губина ул., д.8",230\77,294\77,28\0
"Губина ул., д.9, к.1",20\21,"27,2\16",36\-24
"Губина ул., д.9, к.2",27\14,34\17,26\21
"Губина ул., д.12",153\77,168\86,10\12
"Губина ул., д.13, к.1","117,6\76","130,2\81",11\7
"Губина ул., д.13, к.2",53\46,55\35,4\-24
"Губина ул., д.14",43\25,51\38,19\52
"Губина ул., д.15",83\41,132\65,59\59
"Губина ул., д.18",26\13,34\18,31\38
"Губина ул., д.19/16",54\31,83\86,54\177
"Губина ул., д.20",123\67,159\83,29\24
"Губина ул., д.21",70\43,106\57,51\33
"Губина ул., д.22/21",77\41,115\59,49\44
"Губина ул., д.23/19",92\49,159\81,73\65
"Двинская ул., д.4",444\328,453\299,2\-9
"Двинская ул., д.4, к.1",244\207,210\168,-14\-19
"Двинская ул., д.4, к.2",379\313,404\295,7\-6
"Двинская ул., д.4, к.3",339\297,315\256,-7\-14
"Двинская ул., д.4, к.4",196\211,247\218,26\3
"Двинская ул., д.8","110,16\132","132,84\126",21\-5
"Двинская ул., д.9","225,99\115","220,41\114",-2\-1
"Двинская ул., д.10","2425,84\101","1116,88\86",-54\-15
"Двинская ул., д.11","1663,2\0","515,24\0",-69\-
"Двинская ул., д.14","250,26\175","210,7\139",-16\-21
"Двинская ул., д.14, к.4",1414\451,1297\403,-8\-11
"Двинская ул., д.16, к.1","3926,86\1539","3628,94\1373",-8\-11
"Двинская ул., д.17",550\304,502\281,-9\-8
"Зайцева ул., д.3","253,92\0","221,72\0",-13\-
"Зайцева ул., д.17/23","1018,96\565","1022,72\556",0\-2
"Зайцева ул., д.18/16","106\64,32","60,48\107",-43\66
"Зайцева ул., д.19/18",183\147,196\143,7\-3
"Зайцева ул., д.20",370\242,396\241,7\0
"Зайцева ул., д.21",24\13,46\22,92\69
"Зайцева ул., д.22/13","853,52\579","702,18\396",-18\-32
"Зайцева ул., д.25",100\82,129\94,29\15
"Зайцева ул., д.26","50,96\25","103,74\37",104\48
"Зайцева ул., д.29",35\42,50\49,43\17
"Зайцева ул., д.31",338\243,324\221,-4\-9
"Зайцева ул., д.32",205\148,188\131,-8\-11
"Зайцева ул., д.33","283,05\238","303,45\240",7\1
"Зайцева ул., д.34",139\64,116\56,-17\-13
"Зайцева ул., д.36",390\267,331\210,-15\-21
"Зайцева ул., д.37",370\210,270\138,-27\-34
"Зайцева ул., д.39",244\175,284\187,16\7
