"Автовская ул., д.21",224,235,5
"Автовская ул., д.22",693,730,5
"Автовская ул., д.25","554,244","555,4",0
"Автовская ул., д.26/37","1510,094",1590,5
"Автовская ул., д.28/30","852,169","980,783",15
"Автовская ул., д.29","314,756","348,48",11
"Автовская ул., д.30","344,831","393,217",14
"Автовская ул., д.32","406,559","433,18",7
"Автовская ул., д.34",497,491,-1
"Автовская ул., д.38",260,260,0
"Автовская ул., д.40",700,680,-3
"Автовская ул., д.46",1022,1077,5
"Автовская ул., д.52",896,776,-13
"Балтийская ул., д.2/14",3370,3395,1
"Балтийская ул., д.12","1629,903",1223,-25
"Балтийская ул., д.14",1180,882,-25
"Балтийская ул., д.17",450,"395,73",-12
"Балтийская ул., д.17, к.2",530,"502,21",-5
"Балтийская ул., д.18",335,"330,4",-1
"Балтийская ул., д.19","613,204","666,461",9
"Балтийская ул., д.20",65,"85,68",32
"Балтийская ул., д.21","496,076","533,169",7
"Балтийская ул., д.22","149,71",151,1
"Балтийская ул., д.24",173,"181,6",5
"Балтийская ул., д.27","142,872","174,15",22
"Балтийская ул., д.32",288,287,0
"Балтийская ул., д.34","123,95","243,66",97
"Балтийская ул., д.36/9","1647,37",1601,-3
"Балтийская ул., д.38",1095,"1091,8",0
"Баррикадная ул., д.3",320,374,17
"Баррикадная ул., д.4","129,58","101,215",-22
"Баррикадная ул., д.5",517,607,17
"Белоусова ул., д.3",294,333,13
"Белоусова ул., д.5",100,99,-1
"Белоусова ул., д.6/42","662,72","648,08",-2
"Белоусова ул., д.14/41","150,579","134,342",-11
"Белоусова ул., д.16","62,741","55,976",-11
"Белоусова ул., д.18","232,68","212,561",-9
"Белоусова ул., д.18, к.1",405,"415,4",3
"Белоусова ул., д.20","320,854","296,097",-8
"Васи Алексеева ул., д.7",895,950,6
"Васи Алексеева ул., д.9","629,61",590,-6
"Васи Алексеева ул., д.10","1103,234",1123,2
"Васи Алексеева ул., д.11",827,821,-1
"Васи Алексеева ул., д.16","887,89","898,38",1
"Васи Алексеева ул., д.17",580,534,-8
"Васи Алексеева ул., д.20/24","2054,37","2049,7",0
"Васи Алексеева ул., д.21","631,93","631,3",0
"Васи Алексеева ул., д.22","1248,32","1280,32",3
"Васи Алексеева ул., д.24",979,970,-1
"Васи Алексеева ул., д.25",544,741,36
"Васи Алексеева ул., д.26",801,"886,82",11
"Васи Алексеева ул., д.28","621,023","676,9",9
"Васи Алексеева ул., д.30","1574,17","1615,17",3
"Возрождения ул., д.7/25","2170,83","2226,691",3
"Возрождения ул., д.9","664,26","683,509",3
"Возрождения ул., д.15","981,71","859,71",-12
"Возрождения ул., д.19/38",2200,2350,7
"Возрождения ул., д.23",793,"588,885",-26
"Возрождения ул., д.25",847,"666,115",-21
"Возрождения ул., д.27",790,797,1
"Гладкова ул., д.1","92,016","109,578",19
"Гладкова ул., д.1а","110,419","135,876",23
"Гладкова ул., д.7/10","399,93","410,17",3
"Гладкова ул., д.11","133,412","156,555",17
"Гладкова ул., д.13","172,941","202,941",17
"Гладкова ул., д.17","72,188","82,8",15
"Гладкова ул., д.19","134,96","151,2",12
"Гладкова ул., д.21","109,851",126,15
"Гладкова ул., д.23","506,6","599,722",18
"Гладкова ул., д.24/7","131,622","142,203",8
"Гладкова ул., д.25",1301,1341,3
"Гладкова ул., д.26",171,170,-1
"Гладкова ул., д.29","606,549","572,5",-6
"Гладкова ул., д.31/7","182,609","202,547",11
"Гладкова ул., д.33","220,391","244,453",11
"Гладкова ул., д.35",120,"122,353",2
"Гладкова ул., д.39","106,261","140,625",32
"Гладкова ул., д.41","135,16","101,215",-25
"Гладкова ул., д.43","122,76",129,5
"Губина ул., д.1/32","133,902","175,735",31
"Губина ул., д.3","66,793","88,393",32
"Губина ул., д.4","68,212","75,395",11
"Губина ул., д.5","163,946","220,982",35
"Губина ул., д.6","140,014","154,759",11
"Губина ул., д.8",84,"85,647",2
"Губина ул., д.9, к.1","169,602","273,291",61
"Губина ул., д.9, к.2","149,648","234,249",57
"Губина ул., д.12","72,833","79,542",9
"Губина ул., д.13, к.1","97,615","117,623",20
"Губина ул., д.13, к.2","112,405","135,444",20
"Губина ул., д.14","79,167","86,458",9
"Губина ул., д.15",97,"98,82",2
"Губина ул., д.18",158,165,4
"Губина ул., д.19/16",189,"188,3",0
"Губина ул., д.20","102,321","128,036",25
"Губина ул., д.22/21",124,147,19
"Двинская ул., д.4",1467,1450,-1
"Двинская ул., д.4, к.1",774,810,5
"Двинская ул., д.4, к.2",1269,1354,7
"Двинская ул., д.4, к.3",997,873,-12
"Двинская ул., д.4, к.4",839,865,3
"Двинская ул., д.8","764,97","870,87",14
"Двинская ул., д.9","957,74","1033,27",8
"Двинская ул., д.10",2450,2650,8
"Двинская ул., д.11","832,62","918,9",10
"Двинская ул., д.14",1420,1435,1
"Двинская ул., д.14, к.4",1978,2078,5
"Двинская ул., д.15","3295,706",3525,7
"Двинская ул., д.16, к.1","2667,16","2919,28",9
"Двинская ул., д.16, к.3",1804,1930,7
"Двинская ул., д.17",750,791,5
"Зайцева ул., д.3",864,"841,72",-3
"Зайцева ул., д.17/23","1599,156","1549,96",-3
"Зайцева ул., д.18/16","1856,13",1901,2
"Зайцева ул., д.19/18","685,388","688,171",0
"Зайцева ул., д.20",1370,1375,0
"Зайцева ул., д.21","246,612","250,829",2
"Зайцева ул., д.22/13","1935,92",2085,8
"Зайцева ул., д.25",637,626,-2
"Зайцева ул., д.26","1039,91","1046,91",1
"Зайцева ул., д.29",271,314,16
"Зайцева ул., д.31",695,663,-5
"Зайцева ул., д.32","773,528","769,804",0
"Зайцева ул., д.33","1014,03","990,03",-2
"Зайцева ул., д.34","680,472","677,196",0
"Зайцева ул., д.36",840,770,-8
"Зайцева ул., д.37",1069,1064,0
"Зайцева ул., д.39",751,749,0
"Зины Портновой ул., д.4","407,022","421,542",4
"Зины Портновой ул., д.6","433,978","449,458",4
"Зины Портновой ул., д.8","614,458","622,281",1
"Зины Портновой ул., д.10","618,554","634,482",3
"Зины Портновой ул., д.12",592,556,-6
"Зины Портновой ул., д.14","540,723","536,87",-1
"Зины Портновой ул., д.16","266,265","264,368",-1
"Зины Портновой ул., д.18","463,942","455,003",-2
"Зины Портновой ул., д.20",510,515,1
"Зины Портновой ул., д.22",555,534,-4
"Зины Портновой ул., д.24",407,409,0
"Зины Портновой ул., д.26","409,863","412,078",1
"Зины Портновой ул., д.28",280,"299,6",7
"Зины Портновой ул., д.30","395,631","394,908",0
"Зои Космодемьянской ул., д.3","1012,698","773,21",-24
"Зои Космодемьянской ул., д.5",235,251,7
"Зои Космодемьянской ул., д.6, к.1","275,65","293,75",7
"Зои Космодемьянской ул., д.8/17",89,"95,3",7
"Зои Космодемьянской ул., д.15",711,760,7
"Зои Космодемьянской ул., д.16/24","103,872","111,845",8
"Зои Космодемьянской ул., д.17/26",750,802,7
"Зои Космодемьянской ул., д.21",110,120,9
"Зои Космодемьянской ул., д.23",209,"264,412",27
"Зои Космодемьянской ул., д.25/20",165,"200,588",22
"Зои Космодемьянской ул., д.27","335,238","398,84",19
