"Губина ул., д.12","108,15\53,3","115,15\61,3",6\15
"Губина ул., д.13, к.1","53,45\32,2","58,368\0",9\-100
"Губина ул., д.13, к.2","10,65\33,35","11,65\33,35",9\0
"Губина ул., д.14","76,6\43,95","80,6\54,95",5\25
"Губина ул., д.15","40,25\21,05","40,25\21,045",0\0
"Губина ул., д.18","173,3\54,9","81,3\44,9",-53\-18
"Губина ул., д.19/16","63,4\42,4","144,4\107,4",128\153
"Губина ул., д.20","166,7\167,6","168,7\173,6",1\4
"Губина ул., д.21","71,75\42,1","87,75\51,1",22\21
"Губина ул., д.22/21","107,85\69,3","89,85\49,3",-17\-29
"Губина ул., д.23/19","224,85\64,55","69,85\157,55",-69\144
"Двинская ул., д.4","510,3\355,4","630,3\403,4",24\14
"Двинская ул., д.4, к.1","285,6\224,9","306,6\207,9",7\-8
"Двинская ул., д.4, к.2","438,35\317,55","509,35\324,55",16\2
"Двинская ул., д.4, к.3","384,2\284,2","460,2\305,2",20\7
"Двинская ул., д.4, к.4","234,15\225,35","295,15\236,35",26\5
"Двинская ул., д.8","146,45\129,55","163,458\130,55",12\1
"Двинская ул., д.9","299,18\151,9","289,881\149,9",-3\-1
"Двинская ул., д.10","317,86\284","428,74\315",35\11
"Двинская ул., д.11","335,65\199,75","350,65\198,75",4\-1
"Двинская ул., д.14","303,75\207,95","234,092\149,95",-23\-28
"Двинская ул., д.14, к.4",1384\441,1424\444,3\1
"Двинская ул., д.16, к.1","3936,8\1676,9","4317,22\1870,9",10\12
"Двинская ул., д.17","620,8\289,6","634,8\298,6",2\3
"Зайцева ул., д.3","453,99\614,95","587,95\897,95",30\46
"Зайцева ул., д.17/23","1449,6\565,2","1366,85\608,2",-6\8
"Зайцева ул., д.18/16","140,93\80,15","165,89\125,15",18\56
"Зайцева ул., д.19/18","255,95\198,6","371,95\248,6",45\25
"Зайцева ул., д.20","326,1\226,25","548,1\317,25",68\40
"Зайцева ул., д.21","33,9\18,6","33,9\17,6",0\-5
"Зайцева ул., д.22/13","978,63\456,55","1327,37\588,55",36\29
"Зайцева ул., д.25","107\81,45","204\143,45",91\76
"Зайцева ул., д.26","350,07\,15","350,07\1,15",0\667
"Зайцева ул., д.29","33,1\34,35","56,1\48,35",69\41
"Зайцева ул., д.31","438,65\284,7","539,65\331,7",23\17
"Зайцева ул., д.32","182,5\140,25","239,5\165,25",31\18
"Зайцева ул., д.33","386,58\307,9","389,98\286,9",1\-7
"Зайцева ул., д.34","110,95\51,6","128,95\61,6",16\19
"Зайцева ул., д.36","344,5\216,65","409,5\248,65",19\15
"Зайцева ул., д.37","288,55\170,1","290,25\166,1",1\-2
"Зайцева ул., д.39","247,1\175,75","328,1\217,75",33\24
"Зины Портновой ул., д.4","75,65\85,05","100,65\88,05",33\4
"Зины Портновой ул., д.6","396,35\417","387,35\336",-2\-19
"Зины Портновой ул., д.8","371,3\329,65","388,3\292,65",5\-11
"Зины Портновой ул., д.10","344,5\284,9","385,5\269,9",12\-5
"Зины Портновой ул., д.12","211,1\220,25","264,1\222,25",25\1
"Зины Портновой ул., д.14","330,85\338,4","411,85\327,4",24\-3
"Зины Портновой ул., д.16","567,7\285,45","598,7\303,45",5\6
"Зины Портновой ул., д.18","371,45\342,8","404,45\312,8",9\-9
"Зины Портновой ул., д.20","95,25\108,05","134,25\115,05",41\6
"Зины Портновой ул., д.22","57,15\52,9","96,15\71,9",68\36
"Зины Портновой ул., д.24","167,9\192,8","283,9\245,8",69\27
"Зины Портновой ул., д.26","247,9\260,8","296,9\249,8",20\-4
"Зины Портновой ул., д.28","576,55\279,6","467,55\241,6",-19\-14
"Зины Портновой ул., д.30","434,3\361,1","488,3\346,1",12\-4
"Зои Космодемьянской ул., д.3","222,49\305,5","86,64\256,5",-61\-16
"Зои Космодемьянской ул., д.5","191,47\203,3","996,97\376,3",421\85
"Зои Космодемьянской ул., д.6, к.1","579,35\256,75","575,25\243,75",-1\-5
"Зои Космодемьянской ул., д.8/17","98,55\16,4","98,55\38,4",0\134
"Зои Космодемьянской ул., д.16/24","57,56\44,1","61,407\28,1",7\-36
"Зои Космодемьянской ул., д.17/26","267,44\202,6","250,078\162,6",-6\-20
"Зои Космодемьянской ул., д.21","662,8\61,85","796,8\61,85",20\0
"Зои Космодемьянской ул., д.23","156,45\38,6","156,45\38,6",0\0
"Зои Космодемьянской ул., д.25/20","89,5\61,05","117,5\77,05",31\26
"Зои Космодемьянской ул., д.29","39,4\120,25","39,4\44,25",0\-63
"Ивана Черных ул., д.1","80,78\53,55","66,859\43,55",-17\-19
"Ивана Черных ул., д.3","213,3\79,3","214,3\93,3",0\18
"Ивана Черных ул., д.3, к.2","175,9\93,9","203,9\104,9",16\12
"Ивана Черных ул., д.13а","112,5\96","184,5\138",64\44
"Ивана Черных ул., д.13б","294,35\245,4","354,35\268,4",20\9
"Ивана Черных ул., д.15а","226,65\152,05","329,65\206,05",45\36
"Ивана Черных ул., д.15б","27,7\26","48,7\41",76\58
"Ивана Черных ул., д.19","151,8\124,8","229,8\160,8",51\29
"Канонерский о., д.7","7088,1\3615,2","6920,1\3529,2",-2\-2
"Канонерский о., д.8","4343,4\1495,3","4695,35\1653,3",8\11
"Канонерский о., д.9","2395,5\929,25","2455,5\899,25",3\-3
"Канонерский о., д.10","3231,5\1348,3","3151,5\1248,25",-2\-7
"Канонерский о., д.12","772,25\401","802,25\419",4\4
"Канонерский о., д.12, к.2","706,4\369,1","781,4\400,1",11\8
"Канонерский о., д.13","417,45\354,8","524,45\388,8",26\10
"Канонерский о., д.14","378,05\307,95","408,05\285,95",8\-7
"Канонерский о., д.15","401,51\0","401,51\123",0\-
"Канонерский о., д.16","173,65\111,4","151,65\96,4",-13\-13
"Канонерский о., д.25","247,8\86,4","265,8\99,4",7\15
"Корнеева ул., д.2","425,03\345,55","425,03\331,55",0\-4
"Корнеева ул., д.6","1905,2\435,9","1661,63\376,9",-13\-14
"Косинова ул., д.5",2069\760,"147,06\0",-93\-100
"Косинова ул., д.7","28,52\18,3","46,92\38,3",65\109
"Косинова ул., д.9/9","62,15\50,2","86,15\56,2",39\12
"Косинова ул., д.14, к.1","440,55\342,2","580,55\404,2",32\18
"Косинова ул., д.14, к.2","214,9\319,2","214,9\337,2",0\6
"Краснопутиловская ул., д.16/13","1096,9\640,6","869,89\493,6",-21\-23
"Краснопутиловская ул., д.18","140,15\88,1","134,15\80,1",-4\-9
"Краснопутиловская ул., д.20","283,48\188,8","422,88\265,8",49\41
"Краснопутиловская ул., д.26","502,2\289,8","815,24\409,8",62\41
"Краснопутиловская ул., д.28/20","260,02\239,4","739,06\294,4",184\23
"Ленинский пр., д.110, к.1а","620,7\572,55","538,7\477,55",-13\-17
"Ленинский пр., д.110, к.1б","2983,95\2452,75","3374,95\2614,75",13\7
"Ленинский пр., д.120, к.2",254\173,167\110,-34\-36
"Ленинский пр., д.124","4083,05\1899,85","3558,07\1671,85",-13\-12
"Ленинский пр., д.130, к.2","1238,1\698,9","938,1\236,9",-24\-66
"Майков пер., д.3","125,22\0",79\55,-37\-
"Майков пер., д.5а",154\84,43\23,-72\-73
"Майков пер., д.7/1","98\50,5","143\74,5",46\48
"Маршала Говорова ул., д.3/7","404,2\0","404,2\0",0\-
"Маршала Говорова ул., д.5/4","378,88\312,45","518,11\390,45",37\25
"Маршала Говорова ул., д.6/5","334,45\242,35","341,03\223,35",2\-8
"Маршала Говорова ул., д.7","300,7\185,15","240,7\137,15",-20\-26
"Маршала Говорова ул., д.11/3","171,3\35,45","177,74\33,45",4\-6
"Маршала Говорова ул., д.15","70,45\104,75","110,41\127,75",57\22
"Маршала Говорова ул., д.16","4204,4\1549,2","4880,4\1794,15",16\16
"Маршала Говорова ул., д.17","125,41\114,3","138,43\101,3",10\-11
"Маршала Говорова ул., д.21","340,75\186,9","427,75\224,9",26\20
"Маршала Говорова ул., д.22/10",460\338,"483,92\319",5\-6
"Маршала Говорова ул., д.22, к.2","140,94\132,25","127,51\112,25",-10\-15
"Маршала Говорова ул., д.23","228,55\118,95","314,55\158,95",38\34
"Маршала Говорова ул., д.24","534,35\358,8","561,35\362,8",5\1
"Маршала Говорова ул., д.26, к.2","323,35\164,85","266,35\136,85",-18\-17
"Маршала Жукова пр., д.18а","1101,95\452,2","1336,95\577,2",21\28
"Маршала Жукова пр., д.18б","2241,13\1091,6","3450,86\1644,6",54\51
"Маршала Жукова пр., д.18в","1988,9\1600,6","3769,85\1973,6",90\23
"Маршала Жукова пр., д.18г","1491,03\940","1967,33\1055",32\12
"Маршала Жукова пр., д.18д","1099,65\637,1","1449,65\770,1",32\21
"Маршала Жукова пр., д.26/16а","961,45\692,25","1106,45\714,25",15\3
"Маршала Жукова пр., д.26/16б","1836,39\1032,3","2242,38\1157,3",22\12
"Маршала Жукова пр., д.26/16в","1848,28\1421,6","2386,35\1598,6",29\12
"Маршала Жукова пр., д.28, к.1","2164,09\1467,9","2724,17\1718,9",26\17
"Маршала Жукова пр., д.30, к.2а",1278\882,1548\1032,21\17
"Маршала Жукова пр., д.30, к.2б","117,5\102,05","146,5\106,05",25\4
"Маршала Жукова пр., д.30, к.2в","3509\1896,95","4281\2180,95",22\15
"Маршала Жукова пр., д.30, к.2г","1552,45\1042,25","2226,45\1456,25",43\40
"Маршала Жукова пр., д.30, к.2д","3358,25\2027,55","3951,25\2189,55",18\8
"Маршала Жукова пр., д.30, к.2е","1147\901,05","1656\1138,05",44\26
"Маршала Жукова пр., д.30, к.2ж","2089,3\1357,95","2542,3\1469,95",22\8
"Маршала Жукова пр., д.32, к.1","3490,14\1815,75","4645,76\2252,75",33\24
"Маршала Жукова пр., д.34, к.1а","1767,3\1324,3","2223,3\1459,3",26\10
"Маршала Жукова пр., д.34, к.1б",349\71,384\80,10\13
"Маршала Жукова пр., д.34, к.1в","1983,85\1729,35","2560,85\2025,35",29\17
"Маршала Жукова пр., д.34, к.1г","1012,22\709,95","1322,3\827,95",31\17
"Маршала Жукова пр., д.34, к.1д",674\137,741\154,10\12
"Маршала Жукова пр., д.34, к.1е","1022,75\206,75","1122,75\234,75",10\14
"Маршала Казакова ул., д.1, к.2","1657,6\1139,45","2074,6\1306,45",25\15
"Маршала Казакова ул., д.3, к.1","1602,65\729,75","1614,65\704,75",1\-3
"Маршала Казакова ул., д.5, к.1а","800,915\615,75","1037,62\715,75",30\16
"Маршала Казакова ул., д.5, к.1б","1645,39\1310,85","1789,89\1281,85",9\-2
"Маршала Казакова ул., д.10, к.1а","1855,5\798,5","1592,98\896,5",-14\12
"Маршала Казакова ул., д.10, к.1б","1232,4\759,45","1417,13\746,45",15\-2
"Маршала Казакова ул., д.10, к.1в","1608,23\964,1","2006,99\1003,1",25\4
"Маршала Казакова ул., д.10, к.1д","1465,76\1057","1674,03\1152",14\9
"Маршала Казакова ул., д.13","667,55\379,4","756,55\403,4",13\6
"Метростроевцев ул., д.2","288,33\242,9","345,325\256,9",20\6
"Метростроевцев ул., д.3","71,75\53,25","51,75\34,25",-28\-36
"Морской пехоты ул., д.4","2300,8\1400","2671,8\1597",16\14
"Морской пехоты ул., д.6, к.1","1359,07\430,75","1628,77\491,75",20\14
"Морской пехоты ул., д.10, к.1","1970,95\966,2","2191,95\1013,2",11\5
"Морской пехоты ул., д.14","1633,3\965,6","1690,3\961,6",3\0
"Народного ополчения пр., д.7","489,6\222,55","419,6\201,55",-14\-9
"Новаторов бул., д.1","313,065\262,3","302,265\260,3",-3\-1
"Новаторов бул., д.3","212,1\105,75","212,1\117,75",0\11
"Новоовсянниковская ул., д.9","13,65\7,25","24,65\7,25",81\0
"Новоовсянниковская ул., д.13","46,25\17,35","51,25\26,35",11\52
"Новостроек ул., д.8","96,6\56,35","96,6\56,35",0\0
"Новостроек ул., д.20","204,75\138,35","225,75\143,35",10\4
"Новостроек ул., д.25","278,93\165,45","289,128\171,45",4\4
"Новостроек ул., д.27","74,45\40,8","72,45\36,8",-3\-10
"Новостроек ул., д.28","132,55\78,75","133,55\74,75",1\-5
"Новостроек ул., д.29","213,69\125,85","185,64\108,85",-13\-14
"Новостроек ул., д.31","281,9\0","281,9\0",0\-
"Новостроек ул., д.33","175,75\104,9","174,75\105,9",-1\1
"Новостроек ул., д.35","239,06\140,65","176,163\127,65",-26\-9
"Оборонная ул., д.3","136,6\103,4","202,6\128,4",48\24
"Оборонная ул., д.4","1011,8\108,85","870,8\176,85",-14\62
"Оборонная ул., д.5","442\332,2","502\330,2",14\-1
"Оборонная ул., д.6","41\27,95","40,1\27,95",-2\0
"Оборонная ул., д.7/20","41,95\23,95","75,95\42,95",81\79
"Оборонная ул., д.14","65,15\97,05","66,81\97,05",3\0
"Оборонная ул., д.15","1,15\1,15",,-\-
"Оборонная ул., д.17/13","90,7\125,05","105,7\61,05",17\-51
"Оборонная ул., д.19","146,7\205,3","113,7\87,3",-22\-57
"Оборонная ул., д.20/18","55,35\34,8","83,35\40,8",51\17
"Оборонная ул., д.23/17","73,95\38,85","110,95\57,85",50\49
"Оборонная ул., д.27","68,6\36,2","66,26\48,2",-3\33
"Огородный пер., д.4, к.3","434,55\319,1","405,55\269,1",-7\-16
"Огородный пер., д.6, к.1","304,45\151","190,45\100",-37\-34
"Огородный пер., д.6, к.2",49\25,14\7,-71\-72
"Промышленная ул., д.12","60,9\48,85","58,9\32,85",-3\-33
"Промышленная ул., д.26","140,7\116,75","142,7\117,75",1\1
"Промышленная ул., д.28","89,55\19","48,55\13",-46\-32
"Промышленная ул., д.30","21,55\6,35","23,55\11,35",9\79
"Промышленная ул., д.34","70,6\26,45","31,6\72,45",-55\174
"Промышленная ул., д.36","16,15\7,65","50,15\24,65",211\222
"Промышленная ул., д.38","5,95\3,9","15,95\11,9",168\205
"Севастопольская ул., д.6","141,85\67,85","141,85\67,85",0\0
"Севастопольская ул., д.34","90,1\38,6","52,1\22,6",-42\-41
"Стачек пр., д.1","511,15\85,6","643,15\190,6",26\123
"Стачек пр., д.2/2","84,8\71,3","130,8\71,3",54\0
"Стачек пр., д.4/1",148\109,172\92,16\-16
"Стачек пр., д.6","83,95\62,15","73,83\50,15",-12\-19
"Стачек пр., д.8/2","30,95\25,7","54,95\37,7",78\47
"Стачек пр., д.8а","157,16\0","157,16\0",0\-
"Стачек пр., д.9","172,95\88,05","209,95\106,05",21\20
"Стачек пр., д.10","180,65\144,1","150,65\125,1",-17\-13
"Стачек пр., д.11","272,91\258,1","333,92\260,1",22\1
"Стачек пр., д.17","293,96\521,1","293,96\164,1",0\-69
"Стачек пр., д.19","1450,9\535,55","1296,85\556,55",-11\4
"Стачек пр., д.21","2106,9\1001,1","2975\922,1",41\-8
"Стачек пр., д.22","140,7\108,95","221,7\144,95",58\33
"Стачек пр., д.22а","784,95\318,9","1056,95\425,9",35\34
"Стачек пр., д.23","1254,9\644,5","1060,9\535,5",-15\-17
"Стачек пр., д.24",403\199,660\336,64\69
"Стачек пр., д.29","222,95\95,9","276,95\154,9",24\62
"Стачек пр., д.33/2","69,7\34,5","134,7\97,5",93\183
"Стачек пр., д.34, к.2","123,3\65,75","85,3\46,75",-31\-29
"Стачек пр., д.35","94,05\63,45","142,05\61,45",51\-3
"Стачек пр., д.41","650,3\390,55","219,3\143,55",-66\-63
"Стачек пр., д.42",38\42,"57,6\0",52\-100
"Стачек пр., д.95, к.1","3781,25\1465,15","3827,25\2065,15",1\41
"Стачек пр., д.101, к.1а","1749,99\1066,95","2010,47\1129,95",15\6
"Стачек пр., д.101, к.1б","742,007\814,35","1140,07\939,35",54\15
"Стачек пр., д.101, к.1в","2408,1\1466,25","2713,1\1549,25",13\6
"Стачек пр., д.101, к.1г","1187,9\1119,4","1524,9\1185,4",28\6
"Стачек пр., д.101, к.1д","1411,55\866,3","1629,55\959,3",15\11
"Стачек пр., д.102","46,95\13,2","64,95\36,2",38\174
"Стачек пр., д.103, к.1","2077,82\2674,15","2520,61\2206,15",21\-18
"Стачек пр., д.105, к.2а","995,2\595","1190,2\725",20\22
"Стачек пр., д.105, к.2б","2095,23\1525,35","2986,09\1902,35",43\25
"Стачек пр., д.105, к.2в","3133\1608,15","3588\1759,15",15\9
"Стачек пр., д.105, к.2г","1199,7\1124,45","1627,7\1203,45",36\7
"Стачек пр., д.105, к.2д","3160\2226,7","4009,63\2494,7",27\12
"Стачек пр., д.105, к.2е","1851,46\1223,15","2358,91\1404,15",27\15
"Стачек пр., д.105, к.2ж","3090,14\1587,85","3602,64\1776,85",17\12
"Стачек пр., д.105, к.2з","1546,48\1102,9","2035,67\1300,9",32\18
"Стачек пр., д.107, к.1","1420,37\833,85","1663,81\882,85",17\6
"Тракторная ул., д.3","239,32\0","239,324\0",0\-
"Тракторная ул., д.4","94,75\51,15","84,75\46,15",-11\-10
"Тракторная ул., д.4а","175,45\183,6","160,45\127,6",-9\-31
"Тракторная ул., д.5","161,9\113,9","175,9\114,9",9\1
"Тракторная ул., д.6","57,3\50,05","63,3\47,05",10\-6
"Тракторная ул., д.6, к.2","52,85\39","46,85\29",-11\-26
"Тракторная ул., д.7","133,45\84,4","130,45\76,4",-2\-9
"Тракторная ул., д.8","156,45\126,1","156,45\116,1",0\-8
"Тракторная ул., д.9","282,55\166,6","263,55\187,6",-7\13
"Тракторная ул., д.10","71,1\68","65,1\54",-8\-21
"Тракторная ул., д.12","183,7\282,15","153,7\157,15",-16\-44
"Тракторная ул., д.13","183,4\119,55","177,4\104,55",-3\-13
"Тракторная ул., д.15","178,7\88,45","174,7\93,45",-2\6
"Трамвайный пр., д.5","221,7\228","270,7\221",22\-3
"Трамвайный пр., д.7, к.1","211,65\209,65","246,65\199,65",17\-5
"Трамвайный пр., д.7, к.2","668,9\331,75","609,9\307,75",-9\-7
"Трамвайный пр., д.9, к.1","210,5\225,4","252,5\211,4",20\-6
"Трамвайный пр., д.9, к.2","253,15\124,25","213,15\113,25",-16\-9
"Трамвайный пр., д.11, к.1","10,3\10,3","18,3\10,3",78\0
"Трамвайный пр., д.11, к.2","90,45\69,5","122,45\77,5",35\12
"Трамвайный пр., д.11, к.3","236,8\54,65","219,8\54,65",-7\0
"Трамвайный пр., д.11, к.6","1046,65\435,15","886,65\395,15",-15\-9
"Трамвайный пр., д.13, к.1",84\35,93\49,11\40
"Трамвайный пр., д.13, к.2","48,5\52,95","84,5\59,95",74\13
"Трамвайный пр., д.13, к.3","38,35\14,25","63,35\35,25",65\147
"Трамвайный пр., д.15, к.1","215,15\213,05","252,15\209,05",17\-2
"Трамвайный пр., д.15, к.2","132,05\76,45","120,05\71,45",-9\-7
"Трамвайный пр., д.15, к.3","176,2\178,5","170,2\153,5",-3\-14
"Трамвайный пр., д.17","76,9\83,7","139,9\111,7",82\33
"Трефолева ул., д.3","967,55\435,45","1368,55\616,45",41\42
"Трефолева ул., д.5","237,6\195,95","317,6\217,95",34\11
"Трефолева ул., д.11","31,3\35,35","68,3\38,35",118\8
"Трефолева ул., д.15",644\391,644\391,0\0
"Трефолева ул., д.16",337\247,190\142,-44\-43
"Трефолева ул., д.22/25","1821,65\1330,3","2175,4\1003,3",19\-25
"Трефолева ул., д.26","148,15\77,55","116,15\64,55",-22\-17
"Турбинная ул., д.11","46,45\426,1","45,3\434,6",-2\2
"Тургеневский пер., д.3",155\104,10\5,-94\-95
"Тургеневский пер., д.5","87,75\59,95","62,75\43,95",-28\-27
"Урюпин пер., д.2/6","34,5\16,1","34,5\16,1",0\0
"Урюпин пер., д.5","329,45\246,35","272,45\199,35",-17\-19
"Швецова ул., д.4",",001\0",",001\0",0\-
"Швецова ул., д.6","146,35\76,25","122,35\62,25",-16\-18
"Швецова ул., д.10","951,85\765,75","853,85\621,75",-10\-19
"Швецова ул., д.11","808,35\582,85","760,35\270,85",-6\-54
"Швецова ул., д.17",595\283,337\157,-43\-45
"Швецова ул., д.19","607,9\138","687,22\60",13\-57
"Шотландская ул., д.3","1529,6\606,65","1482,6\566,65",-3\-7
