"ГЛАДКОВА УЛ., д.29",67\108,64\95,-4\-12
"ГЛАДКОВА УЛ., д.31/7",49\26,40\19,-18\-27
"ГЛАДКОВА УЛ., д.33",95\48,58\28,-39\-42
"ГЛАДКОВА УЛ., д.35",48\25,59\29,23\16
"ГЛАДКОВА УЛ., д.39",25\15,15\10,-40\-33
"ГЛАДКОВА УЛ., д.41",1\0,1\1,0\-
"ГЛАДКОВА УЛ., д.43","38,3\28","15,2\11",-60\-61
"ГУБИНА УЛ., д.1/32","209,3\89","164,71\80",-21\-10
"ГУБИНА УЛ., д.3",84\44,64\34,-24\-23
"ГУБИНА УЛ., д.4","42,78\24","8,37\5",-80\-79
"ГУБИНА УЛ., д.5",155\110,120\82,-23\-25
"ГУБИНА УЛ., д.6",15\9,11\6,-27\-33
"ГУБИНА УЛ., д.8",141\48,146\31,4\-35
"ГУБИНА УЛ., д.9, корп.1","20,8\11","19,2\13",-8\18
"ГУБИНА УЛ., д.9, корп.2",42\21,46\23,10\10
"ГУБИНА УЛ., д.12",83\41,55\28,-34\-32
"ГУБИНА УЛ., д.13, корп.1",0\1,"59,74\0",-\-100
"ГУБИНА УЛ., д.13, корп.2",33\22,120\67,264\205
"ГУБИНА УЛ., д.14",59\44,71\47,20\7
"ГУБИНА УЛ., д.15",2\2,128\65,6300\3150
"ГУБИНА УЛ., д.18",28\14,39\19,39\36
"ГУБИНА УЛ., д.19/16",36\32,44\34,22\6
"ГУБИНА УЛ., д.20",118\63,115\61,-3\-3
"ГУБИНА УЛ., д.21",69\39,48\24,-30\-38
"ГУБИНА УЛ., д.22/21",37\28,8\0,-78\-100
"ГУБИНА УЛ., д.23/19",246\122,23\9,-91\-93
"ДВИНСКАЯ УЛ., д.4",391\329,340\307,-13\-7
"ДВИНСКАЯ УЛ., д.4, корп.1",143\138,127\111,-11\-20
"ДВИНСКАЯ УЛ., д.4, корп.2",288\281,216\245,-25\-13
"ДВИНСКАЯ УЛ., д.4, корп.3",255\250,193\228,-24\-9
"ДВИНСКАЯ УЛ., д.4, корп.4",144\159,129\157,-10\-1
"ДВИНСКАЯ УЛ., д.8","100,4\102","86,7\96",-14\-6
"ДВИНСКАЯ УЛ., д.9","104,2\52","96,7\46",-7\-12
"ДВИНСКАЯ УЛ., д.10",274\238,"324,84\258",19\8
"ДВИНСКАЯ УЛ., д.11","225,3\166","209,4\164",-7\-1
"ДВИНСКАЯ УЛ., д.14","195,2\143","183,2\140",-6\-2
