"ГУБИНА УЛ., д.1/32","137\73","218\109","59\49"
"ГУБИНА УЛ., д.4","57\34","63\39","11\15"
"ГУБИНА УЛ., д.6","61\40","59\40","-3\0"
"ГУБИНА УЛ., д.8","40\25","40\20","0\-20"
"ГУБИНА УЛ., д.9, корп.1","2\1","25\14","1150\1300"
"ГУБИНА УЛ., д.9, корп.2","49\26","50\25","2\-4"
"ГУБИНА УЛ., д.12","0\20","57\43","-\115"
"ГУБИНА УЛ., д.13, корп.1","133\92","141\100","6\9"
"ГУБИНА УЛ., д.13, корп.2","3\5","2\1","-33\-80"
"ГУБИНА УЛ., д.14","28\13","72\43","157\231"
"ГУБИНА УЛ., д.15","32\40","45\41","41\3"
"ГУБИНА УЛ., д.18","51\25","50\25","-2\0"
"ГУБИНА УЛ., д.19/16","54\28","52\28","-4\0"
"ГУБИНА УЛ., д.20","117\50","132\67","13\34"
"ГУБИНА УЛ., д.21","72\49","48\50","-33\2"
"ГУБИНА УЛ., д.22/21","40\23","57\31","43\35"
"ГУБИНА УЛ., д.23/19","109\54","112\58","3\7"
"ДВИНСКАЯ УЛ., д.4","502\420","311\280","-38\-33"
"ДВИНСКАЯ УЛ., д.4, корп.1","157\146","89\120","-43\-18"
"ДВИНСКАЯ УЛ., д.4, корп.2","347\291","215\209","-38\-28"
"ДВИНСКАЯ УЛ., д.4, корп.3","336\301","204\229","-39\-24"
"ДВИНСКАЯ УЛ., д.4, корп.4","144\174","164\126","14\-28"
"ДВИНСКАЯ УЛ., д.8","98\167","123\119","26\-29"
"ДВИНСКАЯ УЛ., д.9","573\296","244\147","-57\-50"
"ДВИНСКАЯ УЛ., д.10","101\169","119\172","18\2"
"ДВИНСКАЯ УЛ., д.14","578\357","264\110","-54\-69"
"ДВИНСКАЯ УЛ., д.14, корп.4","1519\452","924\270","-39\-40"
"ДВИНСКАЯ УЛ., д.16, корп.1","3827\1369","3377\1316","-12\-4"
"ДВИНСКАЯ УЛ., д.17","448\202","296\42","-34\-79"
"ЗАЙЦЕВА УЛ., д.3","70\0","30,86\0","-56\-"
"ЗАЙЦЕВА УЛ., д.17/23","942\547","590,21\368","-37\-33"
"ЗАЙЦЕВА УЛ., д.18/16","88\13","88\69","0\431"
"ЗАЙЦЕВА УЛ., д.19/18","304\170","248\197","-18\16"
"ЗАЙЦЕВА УЛ., д.20","285\192","361\284","27\48"
"ЗАЙЦЕВА УЛ., д.21","26\14","22\14","-15\0"
"ЗАЙЦЕВА УЛ., д.22/13","383\417","1002,25\406","162\-3"
"ЗАЙЦЕВА УЛ., д.25","137\118","263\100","92\-15"
"ЗАЙЦЕВА УЛ., д.26",,"458\311","-\-"
"ЗАЙЦЕВА УЛ., д.29","36\45","25\52","-31\16"
"ЗАЙЦЕВА УЛ., д.31","304\325","349\212","15\-35"
"ЗАЙЦЕВА УЛ., д.32","337\243","288\223","-15\-8"
"ЗАЙЦЕВА УЛ., д.33","292\229","137,41\271","-53\18"
"ЗАЙЦЕВА УЛ., д.34","442\227","146\65","-67\-71"
"ЗАЙЦЕВА УЛ., д.36","393\281","394\316","0\12"
"ЗАЙЦЕВА УЛ., д.37","820\465","592\334","-28\-28"
"ЗАЙЦЕВА УЛ., д.39","295\217","196\159","-34\-27"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","98\66","40\37","-59\-44"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","147\192","88\162","-40\-16"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","151\175","174\197","15\13"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","142\118","56\52","-61\-56"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","152\137","113\130","-26\-5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","221\273","259\289","17\6"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","573\288","553\273","-3\-5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","134\127","129\148","-4\17"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","23\77","20\74","-13\-4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","132\89","49\45","-63\-49"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","77\200","86\207","12\4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","164\177","143\174","-13\-2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","791\371","541\268","-32\-28"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","190\173","138\161","-27\-7"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","52\92","170\129","227\40"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","994\164","341\176","-66\7"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.2","3\2","5\3","67\50"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","6\5","4\3","-33\-40"
