"ГЛАДКОВА УЛ., д.17","200\115","250\150","25\30"
"ГЛАДКОВА УЛ., д.19","21\11","21\9","0\-18"
"ГЛАДКОВА УЛ., д.21","255\0","255\0","0\-"
"ГЛАДКОВА УЛ., д.23","119\114","110\129","-8\13"
"ГЛАДКОВА УЛ., д.24/7","70\37","55\33","-21\-11"
"ГЛАДКОВА УЛ., д.25","171\158","203\195","19\23"
"ГЛАДКОВА УЛ., д.26","97\69","130\90","34\30"
"ГЛАДКОВА УЛ., д.29","34\72","53\88","56\22"
"ГЛАДКОВА УЛ., д.31/7","61\0","63\0","3\-"
"ГЛАДКОВА УЛ., д.33","101\57","104\61","3\7"
"ГЛАДКОВА УЛ., д.35","231\0","231\0","0\-"
"ГЛАДКОВА УЛ., д.39","23\27","24\19","4\-30"
"ГЛАДКОВА УЛ., д.41","1\3","1\0","0\-100"
"ГЛАДКОВА УЛ., д.43","43\11","35\28","-19\155"
"ГУБИНА УЛ., д.1/32","161,71\92","112,34\69","-31\-25"
"ГУБИНА УЛ., д.4","83,83\50","106,13\59","27\18"
"ГУБИНА УЛ., д.5","958,63\0","958,63\0","0\-"
"ГУБИНА УЛ., д.6","200\91","261\160","31\76"
"ГУБИНА УЛ., д.8","174\72","157\54","-10\-25"
"ГУБИНА УЛ., д.9, корп.1","17\69","30\49","76\-29"
"ГУБИНА УЛ., д.9, корп.2","15\8","22\11","47\38"
"ГУБИНА УЛ., д.12","164\82","161\82","-2\0"
"ГУБИНА УЛ., д.13, корп.1","44,91\43","63,07\60","40\40"
"ГУБИНА УЛ., д.13, корп.2","41\44","42\31","2\-30"
"ГУБИНА УЛ., д.14","34\21","31\19","-9\-10"
"ГУБИНА УЛ., д.15","56\27","68\36","21\33"
"ГУБИНА УЛ., д.18","27\13","25\13","-7\0"
"ГУБИНА УЛ., д.19/16","13\10","66\53","408\430"
"ГУБИНА УЛ., д.20","113\63","94\54","-17\-14"
"ГУБИНА УЛ., д.21","61\39","90\55","48\41"
"ГУБИНА УЛ., д.22/21","88\44","69\34","-22\-23"
"ГУБИНА УЛ., д.23/19","100\50","141\68","41\36"
"ДВИНСКАЯ УЛ., д.4","357\278","398\346","11\24"
"ДВИНСКАЯ УЛ., д.4, корп.1","220\196","267\216","21\10"
"ДВИНСКАЯ УЛ., д.4, корп.2","212\235","323\253","52\8"
"ДВИНСКАЯ УЛ., д.4, корп.3","276\255","290\277","5\9"
"ДВИНСКАЯ УЛ., д.4, корп.4","185\154","137\180","-26\17"
"ДВИНСКАЯ УЛ., д.8","96\97","100\110","4\13"
"ДВИНСКАЯ УЛ., д.9","191,1\131","168,39\113","-12\-14"
"ДВИНСКАЯ УЛ., д.10","1437,88\82","1951,21\72","36\-12"
"ДВИНСКАЯ УЛ., д.11","1675,1\0","1692,45\0","1\-"
"ДВИНСКАЯ УЛ., д.14","244\153","254\140","4\-8"
"ДВИНСКАЯ УЛ., д.14, корп.4","1231\407","1186\416","-4\2"
"ДВИНСКАЯ УЛ., д.16, корп.1","3896,61\1530,01","3096\1244","-21\-19"
"ДВИНСКАЯ УЛ., д.17","725\203","572\252","-21\24"
"ЗАЙЦЕВА УЛ., д.3","188\0","31,89\0","-83\-"
"ЗАЙЦЕВА УЛ., д.17/23","645,75\384","804,31\425","25\11"
"ЗАЙЦЕВА УЛ., д.18/16","102\65","56\87","-45\34"
"ЗАЙЦЕВА УЛ., д.19/18","171\137","161\131","-6\-4"
"ЗАЙЦЕВА УЛ., д.20","307\179","217\142","-29\-21"
"ЗАЙЦЕВА УЛ., д.21","41\20","24\13","-41\-35"
"ЗАЙЦЕВА УЛ., д.22/13","556,74\426","492,75\396","-11\-7"
"ЗАЙЦЕВА УЛ., д.25","263\132","77\46","-71\-65"
"ЗАЙЦЕВА УЛ., д.26","26\7","149,17\79","474\1029"
"ЗАЙЦЕВА УЛ., д.29","14\20","13\20","-7\0"
"ЗАЙЦЕВА УЛ., д.31","213\199","193\156","-9\-22"
"ЗАЙЦЕВА УЛ., д.32","198\134","150\108","-24\-19"
"ЗАЙЦЕВА УЛ., д.33","145\117","223\153","54\31"
"ЗАЙЦЕВА УЛ., д.34","105\49","124\60","18\22"
"ЗАЙЦЕВА УЛ., д.36","254\153","307\201","21\31"
"ЗАЙЦЕВА УЛ., д.37","514\266","302\185","-41\-30"
"ЗАЙЦЕВА УЛ., д.39","165\118","207\143","25\21"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","34\40","37\38","9\-5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","125\191","162\218","30\14"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","119\162","165\220","39\36"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","102\96","161\155","58\61"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","158\111","36\122","-77\10"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","185\266","206\293","11\10"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","499\248","509\258","2\4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","149\215","177\246","19\14"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","27\85","34\87","26\2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","57\82","59\80","4\-2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","61\137","81\237","33\73"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","92\180","116\236","26\31"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","606\286","594\296","-2\3"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","176\169","221\264","26\56"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","133\296","187\309","41\4"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","442,51\190","610,14\275","38\45"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","309,69\145","485,89\168","57\16"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.2","3\2","1\1","-67\-50"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","14\9","16\14","14\56"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","185,29\0","189,54\0","2\-"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","116,74\91","123,82\121","6\33"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","192\82","220\89","15\9"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","92\38","106\50","15\32"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","75\44","77\51","3\16"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","135\74","138\93","2\26"
"ИВАНА ЧЕРНЫХ УЛ., д.1","46\22","42\18","-9\-18"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","183\92","180\88","-2\-4"
"ИВАНА ЧЕРНЫХ УЛ., д.13","288\246","267\237","-7\-4"
