"АВТОВСКАЯ УЛ., д.21",297,272,-8
"АВТОВСКАЯ УЛ., д.22",780,820,5
"АВТОВСКАЯ УЛ., д.25","498,53","497,01",0
"АВТОВСКАЯ УЛ., д.26/37","1793,21","1568,71",-13
"АВТОВСКАЯ УЛ., д.28/30","1045,74","998,63",-5
"АВТОВСКАЯ УЛ., д.29","337,4","291,99",-13
"АВТОВСКАЯ УЛ., д.30","419,26","400,37",-5
"АВТОВСКАЯ УЛ., д.32","573,72","614,2",7
"АВТОВСКАЯ УЛ., д.34",488,"496,7",2
"АВТОВСКАЯ УЛ., д.38",263,259,-2
"АВТОВСКАЯ УЛ., д.40",767,"759,3",-1
"АВТОВСКАЯ УЛ., д.46",1176,"1088,6",-7
"АВТОВСКАЯ УЛ., д.52",856,860,0
"БАЛТИЙСКАЯ УЛ., д.2/14",3350,3300,-1
"БАЛТИЙСКАЯ УЛ., д.12",1133,1109,-2
"БАЛТИЙСКАЯ УЛ., д.14",836,"813,7",-3
"БАЛТИЙСКАЯ УЛ., д.17",448,480,7
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","662,81",537,-19
"БАЛТИЙСКАЯ УЛ., д.18",336,308,-8
"БАЛТИЙСКАЯ УЛ., д.19","701,55","580,18",-17
"БАЛТИЙСКАЯ УЛ., д.20","116,39",88,-24
"БАЛТИЙСКАЯ УЛ., д.21","555,075","459,05",-17
"БАЛТИЙСКАЯ УЛ., д.22",145,143,-1
"БАЛТИЙСКАЯ УЛ., д.24","197,9",114,-42
"БАЛТИЙСКАЯ УЛ., д.27","201,172",234,16
"БАЛТИЙСКАЯ УЛ., д.32","323,19",250,-23
"БАЛТИЙСКАЯ УЛ., д.34","249,66","205,95",-18
"БАЛТИЙСКАЯ УЛ., д.36/9","1533,6","1594,1",4
"БАЛТИЙСКАЯ УЛ., д.38",1094,"1029,4",-6
"БАРРИКАДНАЯ УЛ., д.3",345,339,-2
"БАРРИКАДНАЯ УЛ., д.4","81,125","69,49",-14
"БАРРИКАДНАЯ УЛ., д.5",589,561,-5
"БЕЛОУСОВА УЛ., д.3",402,284,-29
"БЕЛОУСОВА УЛ., д.5",117,69,-41
"БЕЛОУСОВА УЛ., д.6/42","955,08",756,-21
"БЕЛОУСОВА УЛ., д.14/41","147,17","107,12",-27
"БЕЛОУСОВА УЛ., д.16","61,321","44,63",-27
"БЕЛОУСОВА УЛ., д.18","256,357","169,14",-34
"БЕЛОУСОВА УЛ., д.18, корп.1","422,643","278,86",-34
"БЕЛОУСОВА УЛ., д.20","330,72","225,6",-32
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",954,"1010,3",6
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",596,605,2
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","961,91","763,95",-21
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",895,801,-11
"ВАСИ АЛЕКСЕЕВА УЛ., д.16","990,38",995,0
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",635,529,-17
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","2202,37",1760,-20
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","802,3",690,-14
"ВАСИ АЛЕКСЕЕВА УЛ., д.22",1475,1330,-10
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",996,900,-10
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",546,413,-24
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","959,82",853,-11
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","1046,09",913,-13
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","1611,17",1499,-7
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","2571,84","2113,24",-18
"ВОЗРОЖДЕНИЯ УЛ., д.9","789,46","652,81",-17
"ВОЗРОЖДЕНИЯ УЛ., д.15","904,71",864,-4
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","2305,01","2459,38",7
"ВОЗРОЖДЕНИЯ УЛ., д.23","650,51","536,02",-18
"ВОЗРОЖДЕНИЯ УЛ., д.25","730,49","620,18",-15
"ВОЗРОЖДЕНИЯ УЛ., д.27",849,755,-11
"ГЛАДКОВА УЛ., д.1","173,429","109,88",-37
"ГЛАДКОВА УЛ., д.1А","133,81","136,25",2
"ГЛАДКОВА УЛ., д.7/10","549,17",420,-24
"ГЛАДКОВА УЛ., д.11","141,975","79,89",-44
"ГЛАДКОВА УЛ., д.13","189,3","112,44",-41
"ГЛАДКОВА УЛ., д.17","81,88","112,68",38
"ГЛАДКОВА УЛ., д.19","149,52","82,9",-45
"ГЛАДКОВА УЛ., д.21","124,6","234,15",88
"ГЛАДКОВА УЛ., д.23","564,41",859,52
"ГЛАДКОВА УЛ., д.24/7","147,911","116,77",-21
"ГЛАДКОВА УЛ., д.25",1335,1250,-6
"ГЛАДКОВА УЛ., д.26","137,088","108,23",-21
"ГЛАДКОВА УЛ., д.29","560,769","474,59",-15
"ГЛАДКОВА УЛ., д.31/7","194,843","176,72",-9
"ГЛАДКОВА УЛ., д.33","235,156","213,28",-9
"ГЛАДКОВА УЛ., д.35",115,80,-30
"ГЛАДКОВА УЛ., д.39","91,135","113,1",24
"ГЛАДКОВА УЛ., д.41","81,125","60,52",-25
"ГЛАДКОВА УЛ., д.43","81,125","62,76",-23
"ГУБИНА УЛ., д.1/32","164,572","137,19",-17
"ГУБИНА УЛ., д.3","55,69","69,12",24
"ГУБИНА УЛ., д.4","79,426","69,06",-13
"ГУБИНА УЛ., д.5","134,171","172,79",29
"ГУБИНА УЛ., д.6","163,032","141,75",-13
"ГУБИНА УЛ., д.8",80,56,-30
"ГУБИНА УЛ., д.9, корп.1","262,522","178,63",-32
"ГУБИНА УЛ., д.9, корп.2","225,018","157,62",-30
"ГУБИНА УЛ., д.12","78,58","73,79",-6
"ГУБИНА УЛ., д.13, корп.1","107,812","135,88",26
"ГУБИНА УЛ., д.13, корп.2","194,089","156,46",-19
"ГУБИНА УЛ., д.14","85,417","80,21",-6
"ГУБИНА УЛ., д.15",98,"98,3",0
"ГУБИНА УЛ., д.18","106,786","79,24",-26
"ГУБИНА УЛ., д.19/16",183,194,6
"ГУБИНА УЛ., д.20","123,214","91,76",-26
"ГУБИНА УЛ., д.22/21",147,136,-7
"ДВИНСКАЯ УЛ., д.4",1456,1524,5
"ДВИНСКАЯ УЛ., д.4, корп.1",788,823,4
"ДВИНСКАЯ УЛ., д.4, корп.2",1308,1486,14
"ДВИНСКАЯ УЛ., д.4, корп.3",897,1213,35
"ДВИНСКАЯ УЛ., д.4, корп.4",980,990,1
"ДВИНСКАЯ УЛ., д.8","865,87","949,38",10
"ДВИНСКАЯ УЛ., д.9","1025,27","1156,74",13
"ДВИНСКАЯ УЛ., д.10",2803,2751,-2
"ДВИНСКАЯ УЛ., д.11","1157,9",1045,-10
"ДВИНСКАЯ УЛ., д.14",1381,"1356,22",-2
"ДВИНСКАЯ УЛ., д.14, корп.4",2184,1925,-12
"ДВИНСКАЯ УЛ., д.15","3486,416","3618,06",4
"ДВИНСКАЯ УЛ., д.16, корп.1","2815,65","2979,1",6
"ДВИНСКАЯ УЛ., д.16, корп.3",2153,2207,3
"ДВИНСКАЯ УЛ., д.17","658,603","686,56",4
"ЗАЙЦЕВА УЛ., д.3",968,1003,4
"ЗАЙЦЕВА УЛ., д.17/23","1891,16",1568,-17
"ЗАЙЦЕВА УЛ., д.18/16","1892,65",1833,-3
"ЗАЙЦЕВА УЛ., д.19/18","854,88","690,59",-19
"ЗАЙЦЕВА УЛ., д.20",1425,1269,-11
"ЗАЙЦЕВА УЛ., д.21","314,12","251,41",-20
"ЗАЙЦЕВА УЛ., д.22/13","2057,47",2042,-1
"ЗАЙЦЕВА УЛ., д.25",747,580,-22
"ЗАЙЦЕВА УЛ., д.26","1207,91","1212,9",0
"ЗАЙЦЕВА УЛ., д.29",315,"302,6",-4
"ЗАЙЦЕВА УЛ., д.31",804,856,6
"ЗАЙЦЕВА УЛ., д.32","833,89","733,45",-12
"ЗАЙЦЕВА УЛ., д.33","1080,03",1039,-4
"ЗАЙЦЕВА УЛ., д.34","746,11","644,55",-14
"ЗАЙЦЕВА УЛ., д.36",821,685,-17
"ЗАЙЦЕВА УЛ., д.37",1195,1118,-6
"ЗАЙЦЕВА УЛ., д.39",968,909,-6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","249,731",382,53
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","266,269",365,37
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","764,026","682,04",-11
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","754,293","677,67",-10
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",610,485,-20
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","642,365","577,11",-10
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","316,316","284,18",-10
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","481,297","404,79",-16
