"АВТОВСКАЯ УЛ., д.21","164,52","176,72",7
"АВТОВСКАЯ УЛ., д.25","311,32","295,09",-5
"АВТОВСКАЯ УЛ., д.28/30","422,24","349,17",-17
"АВТОВСКАЯ УЛ., д.29","283,71","257,57",-9
"АВТОВСКАЯ УЛ., д.30","124,26","112,54",-9
"АВТОВСКАЯ УЛ., д.32","378,27","372,66",-1
"АВТОВСКАЯ УЛ., д.34","269,44","274,63",2
"АВТОВСКАЯ УЛ., д.38","127,57","137,69",8
"АВТОВСКАЯ УЛ., д.40","384,5","376,42",-2
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","340,03","295,91",-13
"БАЛТИЙСКАЯ УЛ., д.18",,"205,98",
"БАЛТИЙСКАЯ УЛ., д.19","182,77","157,04",-14
"БАЛТИЙСКАЯ УЛ., д.20",,"51,29",
"БАЛТИЙСКАЯ УЛ., д.21","135,09","116,07",-14
"БАЛТИЙСКАЯ УЛ., д.22",,"96,13",
"БАЛТИЙСКАЯ УЛ., д.23","27,81","23,9",-14
"БАЛТИЙСКАЯ УЛ., д.24",,"181,49",
"БАЛТИЙСКАЯ УЛ., д.25","74,23","68,77",-7
"БАЛТИЙСКАЯ УЛ., д.27","43,3","40,12",-7
"БАЛТИЙСКАЯ УЛ., д.34","80,79","61,74",-24
"БАРРИКАДНАЯ УЛ., д.4","37,94","29,01",-24
"БАРРИКАДНАЯ УЛ., д.5","305,85","315,82",3
"БЕЛОУСОВА УЛ., д.3","134,44","130,21",-3
"БЕЛОУСОВА УЛ., д.5","71,52","42,7",-40
"БЕЛОУСОВА УЛ., д.10","62,2","55,84",-10
"БЕЛОУСОВА УЛ., д.14/41","91,88","69,05",-25
"БЕЛОУСОВА УЛ., д.16","40,54","30,46",-25
"БЕЛОУСОВА УЛ., д.18","105,39","79,2",-25
"ВАСИ АЛЕКСЕЕВА УЛ., д.16","421,67","366,29",-13
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","295,77","272,93",-8
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","401,81","375,79",-6
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","311,32","171,22",-45
"ГЛАДКОВА УЛ., д.1",91,"99,89",10
"ГЛАДКОВА УЛ., д.1А",112,"122,94",10
"ГЛАДКОВА УЛ., д.11","70,67","86,25",22
"ГЛАДКОВА УЛ., д.13","95,13","116,1",22
"ГЛАДКОВА УЛ., д.17","54,67","58,37",7
"ГЛАДКОВА УЛ., д.19","100,23","107,01",7
"ГЛАДКОВА УЛ., д.21","79,73","85,12",7
"ГЛАДКОВА УЛ., д.24/7","81,42","80,16",-2
"ГЛАДКОВА УЛ., д.26","79,43","78,21",-2
"ГЛАДКОВА УЛ., д.31/7",,"9,57",
"ГЛАДКОВА УЛ., д.33",,"11,9",
"ГЛАДКОВА УЛ., д.35",,"9,57",
"ГЛАДКОВА УЛ., д.39","70,16","65,25",-7
"ГЛАДКОВА УЛ., д.41","39,4","30,12",-24
"ГЛАДКОВА УЛ., д.43","40,86","31,24",-24
"ГУБИНА УЛ., д.1/32","96,98","90,19",-7
"ГУБИНА УЛ., д.3","47,46","44,14",-7
"ГУБИНА УЛ., д.4","49,6","55,46",12
"ГУБИНА УЛ., д.5","103,17","95,95",-7
"ГУБИНА УЛ., д.6","87,39","97,72",12
"ГУБИНА УЛ., д.8",,"7,93",
"ГУБИНА УЛ., д.9, корп.1","71,49","70,39",-2
"ГУБИНА УЛ., д.9, корп.2","67,52","66,48",-2
"ГУБИНА УЛ., д.13, корп.1","63,54","62,57",-2
"ГУБИНА УЛ., д.13, корп.2","66,91","64,07",-4
"ГУБИНА УЛ., д.19/16","100,73","76,27",-24
"ГУБИНА УЛ., д.20","89,23","79,47",-11
"ГУБИНА УЛ., д.21","97,77","74,03",-24
"ГУБИНА УЛ., д.22/21","66,92","59,6",-11
"ГУБИНА УЛ., д.23/19","103,69","78,51",-24
"ДВИНСКАЯ УЛ., д.14, корп.4","306,77","256,79",-16
"ДВИНСКАЯ УЛ., д.16, корп.1","1204,33","1026,72",-15
"ДВИНСКАЯ УЛ., д.16, корп.3","660,69","569,89",-14
"ЗАЙЦЕВА УЛ., д.3",433,"391,27",-10
"ЗАЙЦЕВА УЛ., д.19/18","463,54","442,89",-4
"ЗАЙЦЕВА УЛ., д.21","97,03","87,67",-10
"ЗАЙЦЕВА УЛ., д.25","336,76","345,45",3
"ЗАЙЦЕВА УЛ., д.29","115,69","140,4",21
"ЗАЙЦЕВА УЛ., д.31","401,62","367,07",-9
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","326,67","338,41",4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","239,51","234,19",-2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","311,46","308,06",-1
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","318,24","349,89",10
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","370,96","519,33",40
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","298,65","295,59",-1
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","123,26","104,92",-15
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","228,32","245,06",7
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","312,04","290,44",-7
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","300,71","310,33",3
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","370,88","363,48",-2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","277,23","277,41",0
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","237,31","241,39",2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","230,92","207,49",-10
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","397,13","373,66",-6
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","147,73","138,99",-6
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","118,51","89,73",-24
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.27","102,02","90,61",-11
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","219,62","194,32",-12
"КАНОНЕРСКИЙ ОСТРОВ, д.7","417,48","1431,39",243
"КАНОНЕРСКИЙ ОСТРОВ, д.8","519,51","1125,45",117
"КАНОНЕРСКИЙ ОСТРОВ, д.9","251,92","360,26",43
"КАНОНЕРСКИЙ ОСТРОВ, д.10","285,02","379,24",33
"КАНОНЕРСКИЙ ОСТРОВ, д.12","222,84","319,23",43
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","255,75","795,85",211
"КАНОНЕРСКИЙ ОСТРОВ, д.13","103,47","321,69",211
