"АВТОВСКАЯ УЛ., д.21",318,318,0
"АВТОВСКАЯ УЛ., д.22",721,615,-15
"АВТОВСКАЯ УЛ., д.25",572,562,-2
"АВТОВСКАЯ УЛ., д.26/37",1585,1705,8
"АВТОВСКАЯ УЛ., д.28/30",1078,1025,-5
"АВТОВСКАЯ УЛ., д.29",333,326,-2
"АВТОВСКАЯ УЛ., д.30",446,419,-6
"АВТОВСКАЯ УЛ., д.32",556,457,-18
"АВТОВСКАЯ УЛ., д.34",493,535,9
"АВТОВСКАЯ УЛ., д.38",264,295,12
"АВТОВСКАЯ УЛ., д.40",696,734,5
"АВТОВСКАЯ УЛ., д.46",991,959,-3
"АВТОВСКАЯ УЛ., д.52",639,899,41
"БАЛТИЙСКАЯ УЛ., д.2/14",2909,3039,4
"БАЛТИЙСКАЯ УЛ., д.12",856,1066,25
"БАЛТИЙСКАЯ УЛ., д.14",662,785,19
"БАЛТИЙСКАЯ УЛ., д.17",315,425,35
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",557,804,44
"БАЛТИЙСКАЯ УЛ., д.18",102,212,108
"БАЛТИЙСКАЯ УЛ., д.19",474,669,41
"БАЛТИЙСКАЯ УЛ., д.20",80,82,3
"БАЛТИЙСКАЯ УЛ., д.21",161,528,228
"БАЛТИЙСКАЯ УЛ., д.22",99,118,19
"БАЛТИЙСКАЯ УЛ., д.24",139,125,-10
"БАЛТИЙСКАЯ УЛ., д.27",163,191,17
"БАЛТИЙСКАЯ УЛ., д.32",284,206,-27
"БАЛТИЙСКАЯ УЛ., д.34",65,57,-12
"БАЛТИЙСКАЯ УЛ., д.36/9",1648,1567,-5
"БАЛТИЙСКАЯ УЛ., д.38",739,887,20
"БАРРИКАДНАЯ УЛ., д.3",305,332,9
"БАРРИКАДНАЯ УЛ., д.4",70,86,23
"БАРРИКАДНАЯ УЛ., д.5",547,665,22
"БЕЛОУСОВА УЛ., д.3",76,172,126
"БЕЛОУСОВА УЛ., д.5",116,131,13
"БЕЛОУСОВА УЛ., д.6/42",783,692,-12
"БЕЛОУСОВА УЛ., д.14/41",171,186,9
"БЕЛОУСОВА УЛ., д.16",73,80,10
"БЕЛОУСОВА УЛ., д.18",218,239,10
"БЕЛОУСОВА УЛ., д.18, корп.1",359,393,9
"БЕЛОУСОВА УЛ., д.20",336,342,2
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",877,825,-6
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",664,636,-4
"ВАСИ АЛЕКСЕЕВА УЛ., д.10",927,990,7
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",893,1029,15
"ВАСИ АЛЕКСЕЕВА УЛ., д.16",960,768,-20
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",629,717,14
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24",2437,2016,-17
"ВАСИ АЛЕКСЕЕВА УЛ., д.21",669,706,6
"ВАСИ АЛЕКСЕЕВА УЛ., д.22",1349,1468,9
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",1119,1160,4
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",676,467,-31
"ВАСИ АЛЕКСЕЕВА УЛ., д.26",827,914,11
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",1021,201,-80
"ВАСИ АЛЕКСЕЕВА УЛ., д.30",1620,1767,9
"ВОЗРОЖДЕНИЯ УЛ., д.7/25",2435,2730,12
"ВОЗРОЖДЕНИЯ УЛ., д.9",722,823,14
"ВОЗРОЖДЕНИЯ УЛ., д.15",999,1057,6
"ВОЗРОЖДЕНИЯ УЛ., д.19/38",2302,1504,-35
"ВОЗРОЖДЕНИЯ УЛ., д.23",600,651,9
"ВОЗРОЖДЕНИЯ УЛ., д.25",690,747,8
"ВОЗРОЖДЕНИЯ УЛ., д.27",832,826,-1
"ГЛАДКОВА УЛ., д.1",119,146,23
"ГЛАДКОВА УЛ., д.1А",142,127,-11
"ГЛАДКОВА УЛ., д.7/10",421,403,-4
"ГЛАДКОВА УЛ., д.11",220,370,68
"ГЛАДКОВА УЛ., д.13",297,462,56
"ГЛАДКОВА УЛ., д.17",89,94,6
"ГЛАДКОВА УЛ., д.19",163,172,6
"ГЛАДКОВА УЛ., д.21",129,137,6
"ГЛАДКОВА УЛ., д.23",577,626,8
"ГЛАДКОВА УЛ., д.24/7",170,174,2
"ГЛАДКОВА УЛ., д.25",1340,1187,-11
"ГЛАДКОВА УЛ., д.26",151,155,3
"ГЛАДКОВА УЛ., д.29",1094,789,-28
"ГЛАДКОВА УЛ., д.31/7",186,191,3
"ГЛАДКОВА УЛ., д.33",225,230,2
"ГЛАДКОВА УЛ., д.35",92,107,16
"ГЛАДКОВА УЛ., д.39",144,144,0
"ГЛАДКОВА УЛ., д.41",76,92,21
"ГЛАДКОВА УЛ., д.43",76,92,21
"ГУБИНА УЛ., д.1/32",151,158,5
"ГУБИНА УЛ., д.3",99,99,0
"ГУБИНА УЛ., д.4",106,86,-19
"ГУБИНА УЛ., д.5",222,223,0
"ГУБИНА УЛ., д.6",213,26,-88
"ГУБИНА УЛ., д.8",76,76,0
"ГУБИНА УЛ., д.9, корп.1",147,226,54
"ГУБИНА УЛ., д.9, корп.2",123,184,50
"ГУБИНА УЛ., д.12",77,101,31
"ГУБИНА УЛ., д.13, корп.1",77,139,81
"ГУБИНА УЛ., д.13, корп.2",89,160,80
"ГУБИНА УЛ., д.14",83,110,33
"ГУБИНА УЛ., д.15",98,11,-89
