"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"ГЛАДКОВА УЛ., д.7/10","17,928\78,65","16,728\46,65","-7\-41"
"ГЛАДКОВА УЛ., д.11","16,16\16,33","56,1\29,8","247\82"
"ГЛАДКОВА УЛ., д.13","37,55\24,2","43,55\26,2","16\8"
"ГЛАДКОВА УЛ., д.17","213,4\93,15","352,4\150,15","65\61"
"ГЛАДКОВА УЛ., д.19","53\34","71\45","34\32"
"ГЛАДКОВА УЛ., д.21","9\5","20\10","122\100"
"ГЛАДКОВА УЛ., д.23","178,4\111,6","220,4\139,6","24\25"
"ГЛАДКОВА УЛ., д.24/7","145,05\77,15","120,05\64,15","-17\-17"
"ГЛАДКОВА УЛ., д.25","450,8\233,15","579,8\297,15","29\27"
"ГЛАДКОВА УЛ., д.26","111\55,05","118\59,05","6\7"
"ГЛАДКОВА УЛ., д.29","120,7\88,45","204,7\136,45","70\54"
"ГЛАДКОВА УЛ., д.31/7","71,3\44,45","66,3\34,45","-7\-22"
"ГЛАДКОВА УЛ., д.33","244,05\85,8","134,05\71,8","-45\-16"
"ГЛАДКОВА УЛ., д.35","55,708\0","55,708\0","0\-"
"ГЛАДКОВА УЛ., д.39","15,15\11,8","26,85\11,5","77\-3"
"ГЛАДКОВА УЛ., д.41","1,15\4,15","2,15\,15","87\-96"
"ГЛАДКОВА УЛ., д.43","29,469\21,4","45,309\34,4","54\61"
"ГУБИНА УЛ., д.1/32","246,383\104,35","272,773\122,35","11\17"
"ГУБИНА УЛ., д.3","60\32","51\26","-15\-19"
"ГУБИНА УЛ., д.4","70,261\39,2","85,141\47,2","21\20"
"ГУБИНА УЛ., д.5","109\73","176\118","61\62"
"ГУБИНА УЛ., д.6","17,8\14,05","16,8\12,25","-6\-13"
"ГУБИНА УЛ., д.8","155,75\63","163,75\62","5\-2"
"ГУБИНА УЛ., д.9, корп.1","45,88\70,05","38,68\47,05","-16\-33"
"ГУБИНА УЛ., д.9, корп.2","32,65\8,05","74,65\35,05","129\335"
"ГУБИНА УЛ., д.12","91,15\44,3","93,15\47,3","2\7"
"ГУБИНА УЛ., д.13, корп.1","53,452\32,2","7,812\4,2","-85\-87"
"ГУБИНА УЛ., д.13, корп.2","11,65\33,35","25,65\18,35","120\-45"
"ГУБИНА УЛ., д.14","69,6\49,95","102,6\62,95","47\26"
"ГУБИНА УЛ., д.15","70,99\2,745","65,74\0","-7\-100"
"ГУБИНА УЛ., д.18","56,3\32,9","41,3\23,9","-27\-27"
"ГУБИНА УЛ., д.19/16","82,4\59,4","62,4\41,4","-24\-30"
"ГУБИНА УЛ., д.20","167,7\169,6","92,7\68,6","-45\-60"
"ГУБИНА УЛ., д.21","77,75\41,1","90,75\46,1","17\12"
"ГУБИНА УЛ., д.22/21","83,85\44,3","76,85\40,3","-8\-9"
"ГУБИНА УЛ., д.23/19","172,85\70,55","150,85\68,55","-13\-3"
"ДВИНСКАЯ УЛ., д.4","603,3\356,4","715,3\420,4","19\18"
"ДВИНСКАЯ УЛ., д.4, корп.1","269,6\163,9","322,6\194,9","20\19"
"ДВИНСКАЯ УЛ., д.4, корп.2","533,35\313,55","626,35\371,55","17\18"
"ДВИНСКАЯ УЛ., д.4, корп.3","468,2\273,2","498,2\295,2","6\8"
"ДВИНСКАЯ УЛ., д.4, корп.4","292,15\201,35","345,15\235,35","18\17"
"ДВИНСКАЯ УЛ., д.8","172,368\123,55","179,658\124,55","4\1"
"ДВИНСКАЯ УЛ., д.9","177,351\84,9","182,931\87,9","3\4"
"ДВИНСКАЯ УЛ., д.10","427,056\290","529,096\304","24\5"
"ДВИНСКАЯ УЛ., д.11","376,65\210,75","414,97\247,75","10\18"
"ДВИНСКАЯ УЛ., д.14","337,292\202,95","327,832\195,95","-3\-3"
"ДВИНСКАЯ УЛ., д.14, корп.4","1497\460","1417\459","-5\0"
"ДВИНСКАЯ УЛ., д.16, корп.1","3647,78\1580,9","4322,8\1665,9","19\5"
"ДВИНСКАЯ УЛ., д.17","624,8\255,6","703,8\317,6","13\24"
"ЗАЙЦЕВА УЛ., д.3","467,946\717,95","761,346\900,95","63\25"
"ЗАЙЦЕВА УЛ., д.17/23","1409,15\651,2","1768,23\858,2","25\32"
"ЗАЙЦЕВА УЛ., д.18/16","251,328\110,15","205,248\114,15","-18\4"
"ЗАЙЦЕВА УЛ., д.19/18","310,95\191,6","335,95\207,6","8\8"
"ЗАЙЦЕВА УЛ., д.20","582,1\322,25","706,1\392,25","21\22"
"ЗАЙЦЕВА УЛ., д.21","31,9\14,6","40,9\20,6","28\41"
"ЗАЙЦЕВА УЛ., д.22/13","1125,27\491,55","1182,61\579,55","5\18"
"ЗАЙЦЕВА УЛ., д.25","174\109,45","218\135,45","25\24"
"ЗАЙЦЕВА УЛ., д.26","350,07\1,15","350,07\1,15","0\0"
"ЗАЙЦЕВА УЛ., д.29","60,1\41,35","53,1\36,35","-12\-12"
"ЗАЙЦЕВА УЛ., д.31","506,65\270,7","570,65\317,7","13\17"
"ЗАЙЦЕВА УЛ., д.32","223,5\141,25","262,5\165,25","17\17"
"ЗАЙЦЕВА УЛ., д.33","354,28\253,9","375,53\284,9","6\12"
"ЗАЙЦЕВА УЛ., д.34","118,95\55,6","126,95\61,6","7\11"
"ЗАЙЦЕВА УЛ., д.36","382,5\218,65","425,5\247,65","11\13"
"ЗАЙЦЕВА УЛ., д.37","210,35\121,1","269\156,1","28\29"
"ЗАЙЦЕВА УЛ., д.39","321,1\195,75","403,1\229,75","26\17"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","104,65\79,05","126,65\93,05","21\18"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","400,35\300","434,35\321","8\7"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","386,3\264,65","390,3\268,65","1\2"
