"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"СТАЧЕК ПР., д.4/1","137\72","170\88","24\22"
"СТАЧЕК ПР., д.6","83,03\60,15","83,03\60,15","0\0"
"СТАЧЕК ПР., д.8/2","48,95\31,7","74,95\45,7","53\44"
"СТАЧЕК ПР., д.8А","207,56\17,175","157,16\0","-24\-100"
"СТАЧЕК ПР., д.9","189,95\96,05","190,95\97,05","1\1"
"СТАЧЕК ПР., д.10","200,65\138,1","253,65\179,1","26\30"
"СТАЧЕК ПР., д.11","324,08\226,1","489,392\310,1","51\37"
"СТАЧЕК ПР., д.17","271,762\101,1","274,26\128,1","1\27"
"СТАЧЕК ПР., д.19","1273,85\546,55","1434,85\643,55","13\18"
"СТАЧЕК ПР., д.21","2682,7\749,1","2386,88\1258,1","-11\68"
"СТАЧЕК ПР., д.22","191,7\119,95","150,7\93,95","-21\-22"
"СТАЧЕК ПР., д.22А","894,95\383,9","811,95\326,9","-9\-15"
"СТАЧЕК ПР., д.23","1052,9\525,5","967,9\515,5","-8\-2"
"СТАЧЕК ПР., д.24","471\257","511\264","8\3"
"СТАЧЕК ПР., д.27","60\34","54\31","-10\-9"
"СТАЧЕК ПР., д.29","257,95\139,9","245,95\130,9","-5\-6"
"СТАЧЕК ПР., д.33/2","116,7\82,5","139,7\89,5","20\8"
"СТАЧЕК ПР., д.34, корп.1","150\78","135\70","-10\-10"
"СТАЧЕК ПР., д.34, корп.2","64,3\33,75","87,3\44,75","36\33"
"СТАЧЕК ПР., д.35","87,05\54,45","113,05\54,45","30\0"
"СТАЧЕК ПР., д.38","24,05\13,2","14,05\7,2","-42\-45"
"СТАЧЕК ПР., д.41","478,3\279,55","338,3\203,55","-29\-27"
"СТАЧЕК ПР., д.42","33\24","40\30","21\25"
"СТАЧЕК ПР., д.95, корп.1","3704,25\1845,15","3797,25\1942,15","3\5"
"СТАЧЕК ПР., д.101, корп.1А","2031,82\961,95","2040,98\1194,95","0\24"
"СТАЧЕК ПР., д.101, корп.1Б","1035,39\791,35","1019,69\789,35","-2\0"
"СТАЧЕК ПР., д.101, корп.1В","2592,1\1346,25","2685,1\1376,25","4\2"
"СТАЧЕК ПР., д.101, корп.1Г","1630,9\1109,4","1822,9\1195,4","12\8"
"СТАЧЕК ПР., д.101, корп.1Д","1579,55\841,3","1733,55\935,3","10\11"
"СТАЧЕК ПР., д.102","55,95\31,2","97,95\44,2","75\42"
"СТАЧЕК ПР., д.103, корп.1","2157,96\2085,15","2209,27\1963,15","2\-6"
"СТАЧЕК ПР., д.105, корп.2А","1353,2\765","1195,2\665","-12\-13"
"СТАЧЕК ПР., д.105, корп.2Б","3236,22\1964,35","3278,55\1884,35","1\-4"
"СТАЧЕК ПР., д.105, корп.2В","3700\1702,15","3596\1639,15","-3\-4"
"СТАЧЕК ПР., д.105, корп.2Г","1814,7\1190,45","1800,7\1196,45","-1\1"
"СТАЧЕК ПР., д.105, корп.2Д","4279,3\2426,7","4246,39\2513,7","-1\4"
"СТАЧЕК ПР., д.105, корп.2Е","2419,48\1314,15","2361,81\1303,15","-2\-1"
"СТАЧЕК ПР., д.105, корп.2Ж","3674,54\1655,85","3495,34\1684,85","-5\2"
"СТАЧЕК ПР., д.105, корп.2З","2183,58\1204,9","2292,79\1293,9","5\7"
"СТАЧЕК ПР., д.107, корп.1","1775,13\901,85","1760,33\901,85","-1\0"
"ТРАКТОРНАЯ УЛ., д.3","120\77","162\102","35\32"
"ТРАКТОРНАЯ УЛ., д.4","81,75\40,15","101,75\51,15","24\27"
"ТРАКТОРНАЯ УЛ., д.4А","167,45\126,6","201,45\145,6","20\15"
"ТРАКТОРНАЯ УЛ., д.5","160,9\100,9","186,9\112,9","16\12"
"ТРАКТОРНАЯ УЛ., д.6","80,3\52,05","99,3\64,05","24\23"
"ТРАКТОРНАЯ УЛ., д.6, корп.2","62,85\38","68,85\40","10\5"
"ТРАКТОРНАЯ УЛ., д.7","112,45\65,4","137,45\78,4","22\20"
"ТРАКТОРНАЯ УЛ., д.8","117,45\76,1","171,45\110,1","46\45"
"ТРАКТОРНАЯ УЛ., д.9","292,55\166,6","398,55\221,6","36\33"
"ТРАКТОРНАЯ УЛ., д.10","75,1\58","97,1\70","29\21"
"ТРАКТОРНАЯ УЛ., д.11",,"213\107","-\-"
"ТРАКТОРНАЯ УЛ., д.12","202,7\170,15","351,7\207,15","74\22"
"ТРАКТОРНАЯ УЛ., д.13","217,4\115,55","344,4\183,55","58\59"
"ТРАКТОРНАЯ УЛ., д.15","188,7\98,45","237,7\130,45","26\33"
"ТРАМВАЙНЫЙ ПР., д.5","321,7\228","383,7\281","19\23"
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","227,65\160,65","150,65\96,65","-34\-40"
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","575,9\288,75","467,9\237,75","-19\-18"
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","282,5\201,4","288,5\213,4","2\6"
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","206,15\109,25","213,15\112,25","3\3"
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","16,3\10,3","9,3\5,3","-43\-49"
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","120,45\69,5","135,45\81,5","12\17"
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","182,8\37,65","76,8\21,65","-58\-42"
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","746,65\333,15","731,65\290,15","-2\-13"
"ТРАМВАЙНЫЙ ПР., д.13, корп.1","93\48","96\50","3\4"
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","81,5\55,95","78,5\58,95","-4\5"
"ТРАМВАЙНЫЙ ПР., д.13, корп.3","76,35\41,25","145,35\77,25","90\87"
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","256,15\191,05","293,15\212,05","14\11"
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","110,05\68,45","143,05\84,45","30\23"
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","179,2\139,5","187,2\145,5","4\4"
"ТРАМВАЙНЫЙ ПР., д.17","132,9\88,7","102,9\67,7","-23\-24"
"ТРЕФОЛЕВА УЛ., д.3","1147,55\503,45","981,55\433,45","-14\-14"
"ТРЕФОЛЕВА УЛ., д.5","346,6\211,95","295,6\176,95","-15\-17"
"ТРЕФОЛЕВА УЛ., д.11","61,3\31,35","58,3\31,35","-5\0"
"ТРЕФОЛЕВА УЛ., д.15","644\391","1005\520","56\33"
"ТРЕФОЛЕВА УЛ., д.16","223\145","217\141","-3\-3"
"ТРЕФОЛЕВА УЛ., д.22/25","2181,45\900,3","1858,01\814,3","-15\-10"
"ТРЕФОЛЕВА УЛ., д.26","143,15\76,55","116\63","-19\-18"
"ТУРБИННАЯ УЛ., д.11","150,45\145,1","82,45\360","-45\148"
"ТУРГЕНЕВСКИЙ ПЕР., д.3","15\6","44\21","193\250"
"ТУРГЕНЕВСКИЙ ПЕР., д.5","77,75\49,95","116,75\65,95","50\32"
"УРЮПИН ПЕР., д.2/6",",01\0",",001\0","-90\-"
"УРЮПИН ПЕР., д.5","316,45\220,35","398,45\264,35","26\20"
"ШВЕЦОВА УЛ., д.4","7,65\4,05",",001\0","-100\-100"
"ШВЕЦОВА УЛ., д.6","73,35\36,25","112\57","53\57"
"ШВЕЦОВА УЛ., д.10","840,85\582,75","1242,85\820,75","48\41"
"ШВЕЦОВА УЛ., д.11","608,35\1465,85","1265,35\287,85","108\-80"
"ШВЕЦОВА УЛ., д.17","383\177","331\160","-14\-10"
"ШВЕЦОВА УЛ., д.19","1110,24\75","852,39\414","-23\452"
"ШОТЛАНДСКАЯ УЛ., д.3","1548,6\606,65","1564,6\627,65","1\3"
